MicroVigene	 Version	 2500
Culture	en-US
4/19/2006 12:15:29 PM
Roi Row	 4	 Roi Col	 12	 Main Row	 4	 Main Col	 4	 Sub Row	 1	 Sub Col	 1
Main Row	 Main Col	 Sub Row	 Sub Col	  GeneID	mean_net	 mean_total	 median_net	 vol_net	 vol_bkg	 vol_dust	 
1	 1	 1	 1	sample 1	7085	8627	7196	559747	121818	0	
1	 1	 1	 2	sample 1	938	3766	1028	37502	113120	0	
1	 1	 1	 3	sample 1	1594	3136	1028	63760	61680	0	
1	 1	 1	 4	sample 1	1131	2417	1028	53176	60442	0	
1	 1	 2	 1	sample 1	591	1877	514	23624	51440	0	
1	 1	 2	 2	sample 1	302	1588	256	12060	51440	0	
1	 1	 2	 3	sample 1	276	1562	256	11030	51440	0	
1	 1	 2	 4	neg con	405	1433	258	16210	41120	0	
1	 1	 3	 1	sample 2	1339	2367	1286	84330	64764	0	
1	 1	 3	 2	sample 2	861	1889	772	34458	41120	0	
1	 1	 3	 3	sample 2	954	1982	1028	45770	49344	0	
1	 1	 3	 4	sample 2	823	1851	772	32920	41120	0	
1	 1	 4	 1	sample 2	373	1401	258	14932	41120	0	
1	 1	 4	 2	sample 2	290	1318	258	11580	41120	0	
1	 1	 4	 3	sample 2	367	1395	258	14668	41120	0	
1	 1	 4	 4	pos con	3416	4444	3084	259600	78128	0	
1	 2	 1	 1	sample 3	5610	7410	4882	504934	162000	0	
1	 2	 1	 2	sample 3	4454	6510	3856	338494	156256	0	
1	 2	 1	 3	sample 3	3126	5182	2828	231336	152144	0	
1	 2	 1	 4	sample 3	1553	3609	1542	76094	100744	0	
1	 2	 2	 1	sample 3	861	2661	770	34420	72000	0	
1	 2	 2	 2	sample 3	795	2595	770	25426	57600	0	
1	 2	 2	 3	sample 3	648	2448	514	25936	72000	0	
1	 2	 2	 4	neg con	430	2230	256	17194	72000	0	
1	 2	 3	 1	sample 4	3674	5474	3854	356410	174600	0	
1	 2	 3	 2	sample 4	2816	4616	2570	214040	136800	0	
1	 2	 3	 3	sample 4	2997	4797	2826	203766	122400	0	
1	 2	 3	 4	sample 4	2497	4039	2570	157312	97146	0	
1	 2	 4	 1	sample 4	2117	3917	2312	114336	97200	0	
1	 2	 4	 2	sample 4	1655	3197	1542	79438	74016	0	
1	 2	 4	 3	sample 4	558	2358	514	22338	72000	0	
1	 2	 4	 4	pos con	4271	5813	4112	290443	104856	0	
1	 3	 1	 1	sample 5	4834	6634	5140	338410	126000	0	
1	 3	 1	 2	sample 5	3333	5389	3084	213336	131584	0	
1	 3	 1	 3	sample 5	2407	4463	2056	132382	113080	0	
1	 3	 1	 4	sample 5	1085	3141	1028	44482	84296	0	
1	 3	 2	 1	sample 5	971	2771	770	48542	90000	0	
1	 3	 2	 2	sample 5	681	2223	772	27258	61680	0	
1	 3	 2	 3	sample 5	469	2269	514	18748	72000	0	
1	 3	 2	 4	neg con	76.8	1877	0	3072	72000	0	
1	 3	 3	 1	sample 6	1596	3138	1542	84578	81726	0	
1	 3	 3	 2	sample 6	1044	2586	1028	53220	78642	0	
1	 3	 3	 3	sample 6	534	2076	514	21348	61680	0	
1	 3	 3	 4	sample 6	502	2044	514	20062	61680	0	
1	 3	 4	 1	sample 6	520	1806	514	20800	51440	0	
1	 3	 4	 2	sample 6	636	1922	514	25420	51440	19792	
1	 3	 4	 3	sample 6	322	1864	258	12872	61680	0	
1	 3	 4	 4	pos con	5044	6586	5398	322806	98688	0	
1	 4	 1	 1	sample 7	4545	6087	3856	359051	121818	0	
1	 4	 1	 2	sample 7	2806	4348	2570	168366	92520	0	
1	 4	 1	 3	sample 7	3211	4753	2828	202290	97146	0	
1	 4	 1	 4	sample 7	971	2513	772	38830	61680	0	
1	 4	 2	 1	sample 7	1045	2331	1028	45982	56584	0	
1	 4	 2	 2	sample 7	839	2125	770	37754	57870	0	
1	 4	 2	 3	sample 7	565	1851	514	22598	51440	0	
1	 4	 2	 4	neg con	417	1703	256	16686	51440	0	
1	 4	 3	 1	sample 8	1885	2913	1800	118762	64764	0	
1	 4	 3	 2	sample 8	739	1767	514	29572	41120	0	
1	 4	 3	 3	sample 8	726	1754	514	29054	41120	0	
1	 4	 3	 4	sample 8	771	1799	514	30852	41120	0	
1	 4	 4	 1	sample 8	489	1517	258	19556	41120	0	
1	 4	 4	 2	sample 8	379	1407	258	15178	41120	0	
1	 4	 4	 3	sample 8	418	1446	514	16724	41120	0	
1	 4	 4	 4	pos con	3333	4361	3084	379905	117192	0	
1	 5	 1	 1	sample 9	3509	5565	3598	263206	154200	0	
1	 5	 1	 2	sample 9	2803	4859	2570	176592	129528	0	
1	 5	 1	 3	sample 9	1538	3594	1286	78414	104856	0	
