MicroVigene	 Version	 4000
Culture	en-US
9/28/2010 4:00:55 PM
0:blooming	1:good	2:multiple	3:poor	4:noise	5:circle	6:bad	7:dust	
Roi Row	 1	 Roi Col	 1	 Main Row	 44	 Main Col	 132	 Sub Row	 1	 Sub Col	 1
Main Row	 Main Col	 Sub Row	 Sub Col	  GeneID	mean_net	 mean_total	 mean_bkg	 bkg_used	 mean_dust	 median_net	 median_total	 median_bkg	 vol_net	 vol_total	 vol_bkg	 vol_dust	 cv_spot	 cv_bkg	 dustiness	 spot_skew	 bkg_skew	 kurtosis	 saturation	 rank	 type	 xcenter	 ycenter	 area_signal	 area_spot	 area_bkg	 solidity	 circularity	 roundness	 aspect	 
1	 1	 1	 1	1	10048	14926	5414	4878	0	10358	15236	5088	1527230	2268686	741456	0	0.123	0.231	5660	0	0	0	0	10002	1	141	120	152	194	393	98	1.11	3.49	1.01	
1	 1	 1	 2	1	8969	13957	5617	4988	0	9080	14068	5204	1363214	2121390	758176	0	0.0874	0.21	5131	0	0	0	0	9036	1	159	120	152	196	350	97	1.14	3.87	1.03	
1	 1	 1	 3	1	5780	10716	5558	4936	0	5956	10892	5148	878508	1628780	750272	0	0.0789	0.211	2467	0	0	0	0	6617	1	179	120	152	199	358	97	1.14	3.56	1	
1	 1	 1	 4	1	3527	8283	5203	4756	0	3594	8350	5034	536100	1259012	722912	0	0.0617	0.133	1793	0	0	0	0	4746	1	197	120	152	175	353	98	1.1	4.94	1.06	
1	 1	 1	 5	1	2168	6874	5021	4706	0	2220	6926	4958	329592	1044904	715312	0	0.0549	0.105	1106	0	0	0	0	3740	1	217	120	152	148	352	99	1.1	4.18	1	
1	 1	 1	 6	2	1049	5739	4929	4690	0	1064	5754	4954	159396	872276	712880	0	0.0428	0.0744	409	0	0	0	0	3044	3	235	120	152	152	382	92	1.39	8.78	1.03	
1	 1	 1	 7	2	480	5332	4963	4852	0	518	5370	4990	73948	821156	747208	0	0.0487	0.0499	840	0	0	0	0	2850	5	255	121	154	148	349	100	1	5.65	1	
1	 1	 1	 8	2	373	5139	4920	4766	0	376	5142	4956	57422	791386	733964	0	0.0491	0.053	845	0	0	0	0	2764	5	275	121	154	148	345	100	1	5.65	1	
1	 1	 1	 9	2	242	5014	4940	4772	0	252	5024	4984	37278	772166	734888	0	0.0468	0.0556	625	0	0	0	0	2683	5	293	121	154	148	338	100	1	5.65	1	
1	 1	 1	 10	2	141	5077	5249	4936	0	130	5066	5090	21704	781848	760144	0	0.0457	0.231	677	0	0	0	0	2744	5	313	122	154	148	306	100	1	5.65	1	
1	 1	 1	 11	p-Ctrl	20923	25835	6057	4912	0	20264	25176	5210	3138462	3875262	736800	0	0.1	0.465	12163	0	0	0	0	18396	1	331	121	150	201	347	97	1.13	3.65	1	
1	 1	 1	 12	3	1559	6417	5267	4858	0	1594	6452	5098	230796	949780	718984	0	0.0557	0.218	747	0	0	0	0	3435	1	351	120	148	114	342	95	1.29	11.3	1.2	
1	 1	 1	 13	3	767	5613	5027	4846	0	764	5610	5042	118096	864380	746284	0	0.0458	0.06	636	0	0	0	0	3037	5	370	122	154	148	325	100	1	5.65	1	
1	 1	 1	 14	3	529	5161	4849	4632	0	530	5162	4890	81474	794802	713328	0	0.0449	0.0631	659	0	0	0	0	2742	5	389	123	154	148	318	100	1	5.65	1	
1	 1	 1	 15	3	448	5036	4801	4588	0	460	5048	4822	69002	775554	706552	0	0.0528	0.0641	712	0	0	0	0	2609	5	408	122	154	148	299	100	1	5.65	1	
1	 1	 1	 16	3	274	4990	4886	4716	0	262	4978	4908	42126	768390	726264	0	0.0531	0.0565	825	0	0	0	0	2662	5	425	122	154	148	342	100	1	5.65	1	
1	 1	 1	 17	4	2206	6906	4950	4700	0	2312	7012	4930	335272	1049672	714400	0	0.0801	0.0869	1350	0	0	0	0	3918	1	447	120	152	155	413	97	1.15	5.65	1.09	
1	 1	 1	 18	4	1084	5758	4882	4674	0	1088	5762	4894	166880	886676	719796	0	0.0465	0.0719	764	0	0	0	0	3084	5	466	121	154	148	345	100	1	5.65	1	
1	 1	 1	 19	4	546	5250	4898	4704	0	534	5238	4920	84120	808536	724416	0	0.0551	0.0598	857	0	0	0	0	2794	5	485	121	154	148	327	100	1	5.65	1	
1	 1	 1	 20	4	501	5181	4866	4680	0	510	5190	4916	77202	797922	720720	0	0.0512	0.0586	615	0	0	0	0	2779	5	503	121	154	148	323	100	1	5.65	1	
1	 1	 1	 21	4	236	5014	4977	4778	0	240	5018	5002	36322	772134	735812	0	0.0534	0.0717	441	0	0	0	0	2653	5	522	121	154	148	326	100	1	5.65	1	
