Main.Row	Main.Col	Sub.Row	Sub.Col	SubgridAlias	SpotType	Dilution	GridAlias	Main.Row.Real	Main.Col.Real	Sub.Row.Real	Sub.Col.Real
1	1	1	1	Sample-1-1-1	Sample	100	Sample-1	1	1	1	1
1	1	1	2	Sample-1-1-2	Sample	50	Sample-1	1	1	1	2
1	1	1	3	Sample-1-1-3	Sample	25	Sample-1	1	1	1	3
1	1	1	4	Sample-1-1-4	Sample	12.5	Sample-1	1	1	1	4
1	1	1	5	Sample-1-1-5	Sample	6.25	Sample-1	1	1	1	5
1	1	1	6	Sample-1-2-1	Sample	100	Sample-2	1	1	1	6
1	1	1	7	Sample-1-2-2	Sample	50	Sample-2	1	1	1	7
1	1	1	8	Sample-1-2-3	Sample	25	Sample-2	1	1	1	8
1	1	1	9	Sample-1-2-4	Sample	12.5	Sample-2	1	1	1	9
1	1	1	10	Sample-1-2-5	Sample	6.25	Sample-2	1	1	1	10
1	1	1	11	PosCtrl-1-1	PosCtrl	100	PosCtrl-1	1	1	1	11
1	1	1	12	Sample-1-1-1	Sample	100	Sample-23	1	2	1	1
1	1	1	13	Sample-1-1-2	Sample	50	Sample-23	1	2	1	2
1	1	1	14	Sample-1-1-3	Sample	25	Sample-23	1	2	1	3
1	1	1	15	Sample-1-1-4	Sample	12.5	Sample-23	1	2	1	4
1	1	1	16	Sample-1-1-5	Sample	6.25	Sample-23	1	2	1	5
1	1	1	17	Sample-1-2-1	Sample	100	Sample-24	1	2	1	6
1	1	1	18	Sample-1-2-2	Sample	50	Sample-24	1	2	1	7
1	1	1	19	Sample-1-2-3	Sample	25	Sample-24	1	2	1	8
1	1	1	20	Sample-1-2-4	Sample	12.5	Sample-24	1	2	1	9
1	1	1	21	Sample-1-2-5	Sample	6.25	Sample-24	1	2	1	10
1	1	1	22	PosCtrl-1-1	PosCtrl	100	PosCtrl-3	1	2	1	11
1	1	1	23	Sample-1-1-1	Sample	100	Sample-45	1	3	1	1
1	1	1	24	Sample-1-1-2	Sample	50	Sample-45	1	3	1	2
1	1	1	25	Sample-1-1-3	Sample	25	Sample-45	1	3	1	3
1	1	1	26	Sample-1-1-4	Sample	12.5	Sample-45	1	3	1	4
1	1	1	27	Sample-1-1-5	Sample	6.25	Sample-45	1	3	1	5
1	1	1	28	Sample-1-2-1	Sample	100	Sample-46	1	3	1	6
1	1	1	29	Sample-1-2-2	Sample	50	Sample-46	1	3	1	7
1	1	1	30	Sample-1-2-3	Sample	25	Sample-46	1	3	1	8
1	1	1	31	Sample-1-2-4	Sample	12.5	Sample-46	1	3	1	9
1	1	1	32	Sample-1-2-5	Sample	6.25	Sample-46	1	3	1	10
1	1	1	33	PosCtrl-1-1	PosCtrl	100	PosCtrl-5	1	3	1	11
1	1	1	34	Sample-1-1-1	Sample	100	Sample-67	1	4	1	1
1	1	1	35	Sample-1-1-2	Sample	50	Sample-67	1	4	1	2
1	1	1	36	Sample-1-1-3	Sample	25	Sample-67	1	4	1	3
1	1	1	37	Sample-1-1-4	Sample	12.5	Sample-67	1	4	1	4
1	1	1	38	Sample-1-1-5	Sample	6.25	Sample-67	1	4	1	5
1	1	1	39	Sample-1-2-1	Sample	100	Sample-68	1	4	1	6
1	1	1	40	Sample-1-2-2	Sample	50	Sample-68	1	4	1	7
1	1	1	41	Sample-1-2-3	Sample	25	Sample-68	1	4	1	8
1	1	1	42	Sample-1-2-4	Sample	12.5	Sample-68	1	4	1	9
1	1	1	43	Sample-1-2-5	Sample	6.25	Sample-68	1	4	1	10
1	1	1	44	PosCtrl-1-1	PosCtrl	100	PosCtrl-7	1	4	1	11
1	1	1	45	Sample-1-1-1	Sample	100	Sample-89	1	5	1	1
1	1	1	46	Sample-1-1-2	Sample	50	Sample-89	1	5	1	2
1	1	1	47	Sample-1-1-3	Sample	25	Sample-89	1	5	1	3
1	1	1	48	Sample-1-1-4	Sample	12.5	Sample-89	1	5	1	4
1	1	1	49	Sample-1-1-5	Sample	6.25	Sample-89	1	5	1	5
1	1	1	50	Sample-1-2-1	Sample	100	Sample-90	1	5	1	6
1	1	1	51	Sample-1-2-2	Sample	50	Sample-90	1	5	1	7
1	1	1	52	Sample-1-2-3	Sample	25	Sample-90	1	5	1	8
1	1	1	53	Sample-1-2-4	Sample	12.5	Sample-90	1	5	1	9
1	1	1	54	Sample-1-2-5	Sample	6.25	Sample-90	1	5	1	10
1	1	1	55	PosCtrl-1-1	PosCtrl	100	PosCtrl-9	1	5	1	11
1	1	1	56	Sample-1-1-1	Sample	100	Sample-111	1	6	1	1
