MicroVigene	 Version	 2100
Culture	en-US
3/2/2006 3:03:01 PM
Roi Row	 4	 Roi Col	 12	 Main Row	 6	 Main Col	 6	 Sub Row	 1	 Sub Col	 1
Main Row	 Main Col	 Sub Row	 Sub Col	  GeneID	mean_net	 mean_total	 mean_bkg	 bkg_used	 mean_dust	 median_net	 median_total	 median_bkg	 vol_net	 vol_total	 vol_bkg	 vol_dust	 cv_spot	 cv_bkg	 xcenter	 ycenter	 area_signal	 area_spot	 area_bkg	 solidity	 circularity	 roundness	 aspect	 dustiness	 rank	 type 
1	 1	 1	 1	MCF7	396	1938	1535	1542	0	514	2056	1542	622236	3046260	2424024	0	0.18	0.217	701	582	1572	1575	904	100	1	1.36	1	802	118	circle
1	 1	 1	 2	MCF7	155	1464	1454	1286	23.5	256	1542	1542	243231	2301740	2021592	36917	0.242	0.249	769	582	1572	1575	904	100	1	1.36	1	1043	6	circle
1	 1	 1	 3	MCF7	-130.45	1412	1543	1542	0	-255.99	1286	1542	-205083.99	2218940	2424024	0	0.269	0.23	838	582	1572	1575	904	100	1	1.36	1	738	-19.99	circle
1	 1	 1	 4	MCF7	-413.26	1129	1547	1542	0	-513.99	1028	1542	-649663.99	1774360	2424024	0	0.455	0.221	908	582	1572	1575	904	100	1	1.36	1	1012	-171.99	circle
1	 1	 1	 5	MCF7	188	1752	1686	1542	21.2	258	1800	1800	296223	2753525	2424024	33278	0.206	0.199	978	582	1572	1575	904	100	1	1.36	1	1461	13	circle
1	 1	 1	 6	MCF7	-9.96	1790	1814	1800	0	0	1800	1800	-15675.99	2813924	2829600	0	0.201	0.176	1049	582	1572	1575	904	100	1	1.36	1	915	25	circle
1	 1	 2	 1	MCF7	705	1991	1367	1286	0	770	2056	1286	1269724	3587096	2317372	0	0.177	0.216	701	652	1802	1710	1167	84	2.12	12.9	1.27	1493	8	poor
1	 1	 2	 2	MCF7	289	1575	1473	1286	0	256	1542	1542	454916	2476508	2021592	0	0.239	0.239	769	652	1572	1575	904	100	1	1.36	1	1285	25	circle
1	 1	 2	 3	MCF7	-144.02	1398	1697	1542	0	-255.99	1286	1800	-226409.99	2197614	2424024	0	0.304	0.204	838	652	1572	1575	904	100	1	1.36	1	722	-67.99	circle
1	 1	 2	 4	MCF7	-495.04	1305	1775	1800	0	-513.99	1286	1800	-778215.99	2051384	2829600	0	0.321	0.186	908	652	1572	1575	904	100	1	1.36	1	771	-186.99	circle
1	 1	 2	 5	MCF7	103	1903	1895	1800	0	0	1800	1800	161392	2990992	2829600	0	0.2	0.181	978	652	1572	1575	904	100	1	1.36	1	579	-33.99	circle
1	 1	 2	 6	MCF7	135	1935	1900	1800	0	0	1800	1800	212530	3042130	2829600	0	0.166	0.164	1049	652	1572	1575	904	100	1	1.36	1	498	27	circle
1	 1	 3	 1	MCF7	353	1895	1574	1542	0	258	1800	1542	555134	2979158	2424024	0	0.219	0.243	699	719	1572	1575	904	100	1	1.36	1	948	53	circle
1	 1	 3	 2	MCF7	-10.61	1531	1597	1542	0	0	1542	1542	-16697.99	2407326	2424024	0	0.238	0.205	768	720	1572	1575	904	100	1	1.36	1	883	-57.99	circle
1	 1	 3	 3	MCF7	-308.15	1492	1756	1800	0	-257.99	1542	1800	-484425.99	2345174	2829600	0	0.248	0.187	838	720	1572	1575	904	100	1	1.36	1	964	-146.99	circle
1	 1	 3	 4	MCF7	-465.46	1335	1821	1800	0	-513.99	1286	1800	-731717.99	2097882	2829600	0	0.333	0.184	908	720	1572	1575	904	100	1	1.36	1	1045	-261.99	circle
1	 1	 3	 5	MCF7	25.8	1826	1776	1800	0	0	1800	1800	40552	2870152	2829600	0	0.231	0.186	978	720	1572	1575	904	100	1	1.36	1	1252	-19.99	circle
1	 1	 3	 6	MCF7	30.6	1831	1770	1800	0	0	1800	1800	48070	2877670	2829600	0	0.204	0.18	1049	720	1572	1575	904	100	1	1.36	1	851	36	circle
