MicroVigene	 Version	 2100
Culture	en-US
5/9/2005 8:01:39 PM
Roi Row	 4	 Roi Col	 10	 Main Row	 4	 Main Col	 4	 Sub Row	 1	 Sub Col	 1
Main Row	 Main Col	 Sub Row	 Sub Col	  GeneID	mean_net	 mean_total	 median_net	 vol_bkg	 vol_dust	 
1	 1	 1	 1	sample1	8366	14588	8334	298656	0	
1	 1	 1	 2	sample1	9969	15467	10576	263904	0	
1	 1	 1	 3	sample1	9615	12771	10832	145176	0	
1	 1	 1	 4	sample1	9292	11632	10140	112320	0	
1	 1	 2	 1	sample1	11803	14585	12120	133536	0	
1	 1	 2	 2	sample1	12908	15646	13246	131424	0	
1	 1	 2	 3	sample1	11150	13106	13050	93888	0	
1	 1	 2	 4	sample1	10632	12512	11982	90240	0	
1	 1	 3	 1	sample1	5356	7502	6106	103008	0	
1	 1	 3	 2	sample1	4026	5724	4128	81504	0	
1	 1	 3	 3	sample1	2032	3452	2052	68160	0	
1	 1	 3	 4	sample1	1371	2907	1442	73728	0	
1	 1	 4	 1	sample1	5940	8032	6224	96232	0	
1	 1	 4	 2	sample1	4085	5763	4292	80544	0	
1	 1	 4	 3	sample1	2224	3484	2308	57960	0	
1	 1	 4	 4	sample1	1275	2645	1318	65760	0	
1	 2	 1	 1	sample2	5392	15504	5412	465152	0	
1	 2	 1	 2	sample2	6802	15972	6904	440160	0	
1	 2	 1	 3	sample2	10573	14953	10982	201480	0	
1	 2	 1	 4	sample2	12000	13806	12582	86688	0	
1	 2	 2	 1	sample2	10127	15481	10300	256992	0	
1	 2	 2	 2	sample2	12255	15903	12490	175104	0	
1	 2	 2	 3	sample2	12467	14851	13814	114432	0	
1	 2	 2	 4	sample2	12582	13898	13538	63168	0	
1	 2	 3	 1	sample2	6904	11156	6978	204096	0	
1	 2	 3	 2	sample2	5962	8516	6448	122592	0	
1	 2	 3	 3	sample2	3439	4887	3542	72400	0	
1	 2	 3	 4	sample2	1774	2808	1786	49632	0	
1	 2	 4	 1	sample2	6038	11168	6064	246240	0	
1	 2	 4	 2	sample2	5596	8260	5778	127872	0	
1	 2	 4	 3	sample2	3380	5146	3586	84768	0	
1	 2	 4	 4	sample2	1987	3043	1944	50688	0	
1	 3	 1	 1	sample3	6928	15822	6774	426912	0	
1	 3	 1	 2	sample3	7437	15919	7714	407136	0	
1	 3	 1	 3	sample3	11588	15902	12062	215700	0	
1	 3	 1	 4	sample3	11789	13661	12924	89856	0	
1	 3	 2	 1	sample3	10957	15745	11432	229824	0	
1	 3	 2	 2	sample3	12456	16618	12452	191452	0	
1	 3	 2	 3	sample3	13409	15847	13944	121900	0	
1	 3	 2	 4	sample3	12063	13667	13282	76992	0	
