Alias	Sample
MCF7	1
MCF7	2
MCF7	3
MDA231	4
MDA231	5
MDA231	6
MCF7	7
MCF7	8
MCF7	9
MDA231	10
MDA231	11
MDA231	12
MCF7	13
MCF7	14
MCF7	15
MDA231	16
MDA231	17
MDA231	18
PASW 480 10%01	19
PASW 480 10%01	20
PASW 480 10%01	21
L3.6	22
L3.6	23
L3.6	24
PASW 480 10%01	25
PASW 480 10%01	26
PASW 480 10%01	27
L3.6	28
L3.6	29
L3.6	30
PASW 480 10%01	31
PASW 480 10%01	32
PASW 480 10%01	33
L3.6	34
L3.6	35
L3.6	36
SNB19	37
SNB19	38
SNB19	39
U87	40
U87	41
U87	42
SNB19	43
SNB19	44
SNB19	45
U87	46
U87	47
U87	48
SNB19	49
SNB19	50
SNB19	51
U87	52
U87	53
U87	54
U87 EGFR 0.5	55
U87 EGFR 0.5	56
U87 EGFR 0.5	57
K562	58
K562	59
K562	60
U87 EGFR 0.5	61
U87 EGFR 0.5	62
U87 EGFR 0.5	63
K562	64
K562	65
K562	66
U87 EGFR 0.5	67
U87 EGFR 0.5	68
U87 EGFR 0.5	69
K562	70
K562	71
K562	72
MDA468	73
MDA468	74
MDA468	75
BT474	76
BT474	77
BT474	78
MDA468	79
MDA468	80
MDA468	81
BT474	82
BT474	83
BT474	84
MDA468	85
MDA468	86
MDA468	87
BT474	88
BT474	89
BT474	90
KM12C	91
KM12C	92
KM12C	93
KM12L4	94
KM12L4	95
KM12L4	96
KM12C	97
KM12C	98
KM12C	99
KM12L4	100
KM12L4	101
KM12L4	102
KM12C	103
KM12C	104
KM12C	105
KM12L4	106
KM12L4	107
KM12L4	108
U251	109
U251	110
U251	111
G26	112
G26	113
G26	114
U251	115
U251	116
U251	117
G26	118
G26	119
G26	120
U251	121
U251	122
U251	123
G26	124
G26	125
G26	126
Buffer	127
Buffer	128
Buffer	129
Buffer	130
Buffer	131
Buffer	132
Buffer	133
Buffer	134
Buffer	135
Buffer	136
Buffer	137
Buffer	138
Buffer	139
Buffer	140
Buffer	141
Buffer	142
Buffer	143
Buffer	144
MCF7 10%	145
MCF7 10%	146
MCF7 10%	147
MDA231 10%	148
MDA231 10%	149
MDA231 10%	150
MCF7 10%	151
MCF7 10%	152
MCF7 10%	153
MDA231 10%	154
MDA231 10%	155
MDA231 10%	156
MCF7 10%	157
MCF7 10%	158
MCF7 10%	159
MDA231 10%	160
MDA231 10%	161
MDA231 10%	162
PASW 480 10%01 10%	163
PASW 480 10%01 10%	164
PASW 480 10%01 10%	165
L3.6 10%	166
L3.6 10%	167
L3.6 10%	168
PASW 480 10%01 10%	169
PASW 480 10%01 10%	170
PASW 480 10%01 10%	171
L3.6 10%	172
L3.6 10%	173
L3.6 10%	174
PASW 480 10%01 10%	175
PASW 480 10%01 10%	176
PASW 480 10%01 10%	177
L3.6 10%	178
L3.6 10%	179
L3.6 10%	180
SNB19 10%	181
SNB19 10%	182
SNB19 10%	183
U87 10%	184
U87 10%	185
U87 10%	186
SNB19 10%	187
SNB19 10%	188
SNB19 10%	189
U87 10%	190
U87 10%	191
U87 10%	192
SNB19 10%	193
SNB19 10%	194
SNB19 10%	195
U87 10%	196
U87 10%	197
U87 10%	198
U87 EGFR 10%	199
U87 EGFR 10%	200
U87 EGFR 10%	201
SW 480 10%	202
SW 480 10%	203
SW 480 10%	204
U87 EGFR 10%	205
U87 EGFR 10%	206
U87 EGFR 10%	207
SW 480 10%	208
SW 480 10%	209
SW 480 10%	210
U87 EGFR 10%	211
U87 EGFR 10%	212
U87 EGFR 10%	213
SW 480 10%	214
SW 480 10%	215
SW 480 10%	216
MDA468 10%	217
MDA468 10%	218
MDA468 10%	219
BT474 10%	220
BT474 10%	221
BT474 10%	222
MDA468 10%	223
MDA468 10%	224
MDA468 10%	225
BT474 10%	226
BT474 10%	227
BT474 10%	228
MDA468 10%	229
MDA468 10%	230
MDA468 10%	231
BT474 10%	232
BT474 10%	233
BT474 10%	234
KM12C 10%	235
KM12C 10%	236
KM12C 10%	237
KM12L4 10%	238
KM12L4 10%	239
KM12L4 10%	240
KM12C 10%	241
KM12C 10%	242
KM12C 10%	243
KM12L4 10%	244
KM12L4 10%	245
KM12L4 10%	246
KM12C 10%	247
KM12C 10%	248
KM12C 10%	249
KM12L4 10%	250
KM12L4 10%	251
KM12L4 10%	252
U251 10%	253
U251 10%	254
U251 10%	255
G26 10%	256
G26 10%	257
G26 10%	258
U251 10%	259
U251 10%	260
U251 10%	261
G26 10%	262
G26 10%	263
G26 10%	264
U251 10%	265
U251 10%	266
U251 10%	267
G26 10%	268
G26 10%	269
G26 10%	270
Blank	271
Blank	272
Blank	273
Blank	274
Blank	275
Blank	276
Blank	277
Blank	278
Blank	279
Blank	280
Blank	281
Blank	282
Blank	283
Blank	284
Blank	285
Blank	286
Blank	287
Blank	288
