MicroVigene	 Version	 4000
Culture	en-US
9/28/2010 4:00:22 PM
0:blooming	1:good	2:multiple	3:poor	4:noise	5:circle	6:bad	7:dust	
Roi Row	 1	 Roi Col	 1	 Main Row	 44	 Main Col	 132	 Sub Row	 1	 Sub Col	 1
Main Row	 Main Col	 Sub Row	 Sub Col	  GeneID	mean_net	 mean_total	 mean_bkg	 bkg_used	 mean_dust	 median_net	 median_total	 median_bkg	 vol_net	 vol_total	 vol_bkg	 vol_dust	 cv_spot	 cv_bkg	 dustiness	 spot_skew	 bkg_skew	 kurtosis	 saturation	 rank	 type	 xcenter	 ycenter	 area_signal	 area_spot	 area_bkg	 solidity	 circularity	 roundness	 aspect	 
1	 1	 1	 1	1	25005	30659	7645	5654	0	24928	30582	6168	3700682	4537474	836792	0	0.136	0.516	14095	0	0	0	0	22385	1	124	101	148	199	355	99	1.11	3.64	1.04	
1	 1	 1	 2	1	24447	30615	8208	6168	0	24414	30582	6682	3618183	4531047	912864	0	0.122	0.473	14018	0	0	0	0	21996	1	143	101	148	199	284	98	1.11	3.6	1.07	
1	 1	 1	 3	1	23623	29791	8427	6168	0	23644	29812	6682	3543410	4468610	925200	0	0.119	0.506	9855	0	0	0	0	22012	1	161	101	150	201	290	99	1.1	3.91	1.07	
1	 1	 1	 4	1	21418	27328	8300	5910	0	21846	27756	6682	3169900	4044580	874680	0	0.156	0.491	12001	0	0	0	0	20254	1	181	101	148	201	301	98	1.11	3.26	1.05	
1	 1	 1	 5	1	16688	22598	7842	5910	0	16962	22872	6424	2503252	3389752	886500	0	0.139	0.437	7350	0	0	0	0	16572	1	200	101	150	199	295	98	1.11	3.6	1.07	
1	 1	 1	 6	2	24189	30099	8360	5910	0	24672	30582	6938	3628360	4514860	886500	0	0.151	0.457	8481	0	0	0	0	22316	1	219	101	150	201	296	97	1.13	3.47	1	
1	 1	 1	 7	2	20036	25946	7849	5910	0	20818	26728	6682	2965339	3840019	874680	0	0.17	0.4	11153	0	0	0	0	19233	1	238	101	148	200	297	97	1.14	3.62	1	
1	 1	 1	 8	2	16523	22433	7414	5910	0	16192	22102	6424	2445432	3320112	874680	0	0.0746	0.356	8133	0	0	0	0	15741	1	257	101	148	198	296	98	1.11	3.96	1.01	
1	 1	 1	 9	2	12272	18440	7275	6168	0	12078	18246	6682	1840816	2766016	925200	0	0.0855	0.284	4908	0	0	0	0	12597	1	276	101	150	191	296	98	1.12	4.14	1	
1	 1	 1	 10	2	6233	12657	8254	6424	0	6426	12850	6938	947372	1923820	976448	0	0.0637	0.491	2505	0	0	0	0	7571	1	295	100	152	194	295	98	1.13	4.44	1.05	
1	 1	 1	 11	p-Ctrl	24865	31547	9933	6682	0	24158	30840	7710	3729707	4732007	1002300	0	0.0795	0.58	9984	0	0	0	0	21526	1	315	101	150	195	303	98	1.11	3.92	1.02	
1	 1	 1	 12	3	24558	30726	8683	6168	0	24158	30326	7196	3732792	4670328	937536	0	0.118	0.468	12990	0	0	0	0	22495	1	334	100	152	199	320	98	1.14	3.69	1.02	
1	 1	 1	 13	3	20251	26161	8676	5910	0	19790	25700	6682	3078166	3976486	898320	0	0.107	0.511	9497	0	0	0	0	19020	1	353	100	152	201	307	97	1.16	3.83	1.02	
1	 1	 1	 14	3	15258	21168	7977	5910	0	15164	21074	6682	2319244	3217564	898320	0	0.127	0.442	10371	0	0	0	0	15284	1	373	100	152	201	310	97	1.13	3.69	1	
1	 1	 1	 15	3	10443	16353	6992	5910	0	10538	16448	6424	1587308	2485628	898320	0	0.132	0.254	5950	0	0	0	0	11521	1	392	100	152	199	323	97	1.14	3.57	1	
1	 1	 1	 16	3	6681	12591	6943	5910	0	6940	12850	6424	975384	1838244	862860	0	0.106	0.269	3881	0	0	0	0	7999	1	411	100	146	190	318	99	1.11	4.14	1.07	
1	 1	 1	 17	4	25815	31725	7841	5910	0	25186	31096	6682	3923884	4822204	898320	0	0.0851	0.433	15059	0	0	0	0	22375	1	430	100	152	201	314	98	1.13	3.7	1	
1	 1	 1	 18	4	19775	25943	8275	6168	0	19274	25442	6682	2926650	3839514	912864	0	0.0934	0.466	12940	0	0	0	0	18694	1	449	100	148	201	296	99	1.1	3.6	1.07	
1	 1	 1	 19	4	14994	21162	7974	6168	0	14906	21074	6424	2309076	3258948	949872	0	0.108	0.428	8083	0	0	0	0	15126	1	469	100	154	201	300	99	1.1	3.66	1.06	
1	 1	 1	 20	4	10001	16425	7421	6424	0	10024	16448	6938	1480138	2430890	950752	0	0.0998	0.237	7221	0	0	0	0	11263	1	488	100	148	199	310	98	1.11	3.65	1.05	
1	 1	 1	 21	4	5568	11992	7821	6424	0	5654	12078	7196	824018	1774770	950752	0	0.0755	0.329	3418	0	0	0	0	7169	1	507	99.6	148	189	310	99	1.11	3.68	1.02	
1	 1	 1	 22	p-Ctrl	25410	32348	10310	6938	0	24416	31354	7710	3913086	4981538	1068452	0	0.0622	0.536	13004	0	0	0	0	21884	1	526	100	154	197	310	97	1.15	3.66	1	
1	 1	 1	 23	5	23521	30459	10064	6938	0	23388	30326	7966	3481101	4507925	1026824	0	0.113	0.492	11641	0	0	0	0	21054	1	545	99.9	148	185	299	98	1.14	3.99	1.01	
1	 1	 1	 24	5	20390	26814	8702	6424	0	20304	26728	7196	3017771	3968523	950752	0	0.146	0.387	11436	0	0	0	0	19647	1	564	99.9	148	200	311	99	1.11	3.27	1.04	
1	 1	 1	 25	5	17298	23466	8190	6168	0	16448	22616	6938	2560152	3473016	912864	0	0.0905	0.365	9997	0	0	0	0	16646	1	583	99.9	148	201	311	98	1.11	3.18	1.04	
1	 1	 1	 26	5	11450	17618	7634	6168	0	11308	17476	6682	1694582	2607446	912864	0	0.0997	0.33	9728	0	0	0	0	12191	1	603	99.9	148	198	310	98	1.11	3.54	1.07	
1	 1	 1	 27	5	8390	14558	7495	6168	0	8480	14648	6938	1258462	2183662	925200	0	0.0947	0.344	10061	0	0	0	0	9594	1	622	99.8	150	199	316	99	1.11	4.47	1.04	
1	 1	 1	 28	6	23940	30108	8691	6168	0	24158	30326	6938	3590944	4516144	925200	0	0.147	0.493	13646	0	0	0	0	22540	1	641	99.8	150	201	309	97	1.13	3.59	0.98	
1	 1	 1	 29	6	19415	25583	8415	6168	0	18760	24928	6682	2912244	3837444	925200	0	0.0836	0.457	9201	0	0	0	0	17759	1	660	99.7	150	198	308	96	1.18	5.06	1.06	
1	 1	 1	 30	6	15256	21424	8269	6168	0	14648	20816	6682	2257920	3170784	912864	0	0.103	0.436	7902	0	0	0	0	14920	1	679	99.8	148	199	295	99	1.11	3.92	1	
1	 1	 1	 31	6	10154	16322	7802	6168	0	10022	16190	6938	1502860	2415724	912864	0	0.0968	0.326	6297	0	0	0	0	11230	1	699	99.6	148	201	300	98	1.12	4.18	1.05	
1	 1	 1	 32	6	6449	12617	7984	6168	0	6682	12850	6938	967280	1892480	925200	0	0.0636	0.409	3084	0	0	0	0	7669	1	718	99.5	150	198	306	98	1.11	4.08	1.04	
1	 1	 1	 33	p-Ctrl	25764	32188	10208	6424	0	24672	31096	7710	3813131	4763883	950752	0	0.0614	0.603	14764	0	0	0	0	21339	1	737	99.6	148	196	311	98	1.12	3.8	1.07	
1	 1	 1	 34	7	23713	30137	10077	6424	0	23130	29554	7966	3462086	4399990	937904	0	0.0842	0.569	15997	0	0	0	0	21687	1	757	99.6	146	201	299	99	1.1	4.57	1.07	
1	 1	 1	 35	7	18567	24735	8806	6168	0	18504	24672	6938	2785040	3710240	925200	0	0.116	0.545	11013	0	0	0	0	17829	1	777	99.5	150	201	288	99	1.1	3.91	1.07	
1	 1	 1	 36	7	14081	19991	7601	5910	0	13622	19532	6682	2112112	2998612	886500	0	0.0938	0.34	7839	0	0	0	0	13815	1	796	99.5	150	199	295	98	1.11	3.64	1.05	
1	 1	 1	 37	7	8694	14604	7317	5910	0	8482	14392	6938	1304096	2190596	886500	0	0.0771	0.268	5783	0	0	0	0	9579	1	815	99.5	150	197	304	99	1.12	4.61	1	
1	 1	 1	 38	7	4806	10460	7340	5654	0	4882	10536	6682	730578	1589986	859408	0	0.0572	0.371	2892	0	0	0	0	5960	1	835	99.2	152	180	311	98	1.13	5.14	1.14	
1	 1	 1	 39	8	24134	30044	8762	5910	0	24158	30068	6938	3620150	4506650	886500	0	0.139	0.581	15779	0	0	0	0	22339	1	854	99.5	150	201	301	99	1.1	3.52	1.07	
1	 1	 1	 40	8	20941	26851	8955	5910	0	20046	25956	6424	3141121	4027621	886500	0	0.0905	0.559	8905	0	0	0	0	19390	1	873	99.4	150	201	289	98	1.13	3.63	1	
1	 1	 1	 41	8	15669	21579	10247	5910	0	15420	21330	6682	2350340	3236840	886500	0	0.042	0.642	5808	0	0	0	0	13240	0	892	99.4	150	226	268	98	1.12	2.91	1	
1	 1	 1	 42	8	10267	16177	7799	5910	0	10280	16190	6424	1540020	2426520	886500	0	0.152	0.523	10305	0	0	0	0	11143	1	912	99.5	150	187	283	97	1.13	4.15	1	
1	 1	 1	 43	8	6708	12618	8030	5910	0	6940	12850	6938	1019602	1917922	898320	0	0.0967	0.593	3687	0	0	0	0	7930	1	931	99.3	152	192	308	97	1.15	4.36	1.04	
1	 1	 1	 44	p-Ctrl	25394	31304	10451	5910	0	24416	30326	7196	3859912	4758232	898320	0	0.0698	0.706	13620	0	0	0	0	21264	1	951	99.2	152	199	306	99	1.11	3.75	1.07	
1	 1	 1	 45	9	23507	29417	8925	5910	0	23130	29040	6938	3526086	4412586	886500	0	0.117	0.548	16139	0	0	0	0	21918	1	970	99.4	150	201	309	99	1.13	3.83	1	
1	 1	 1	 46	9	19315	25225	8214	5910	0	18762	24672	6424	2858676	3733356	874680	0	0.136	0.478	12709	0	0	0	0	18654	1	989	99.4	148	200	312	98	1.14	3.54	1.02	
1	 1	 1	 47	9	14860	20770	7663	5910	0	14136	20046	6424	2229034	3115534	886500	0	0.111	0.401	8969	0	0	0	0	14534	1	1008	99.4	150	199	295	98	1.14	4.16	1.02	
1	 1	 1	 48	9	9324	15234	7257	5910	0	9252	15162	6424	1398674	2285174	886500	0	0.123	0.315	6181	0	0	0	0	10164	1	1028	99.4	150	198	299	98	1.11	3.92	1.07	
1	 1	 1	 49	9	6827	12481	6986	5654	0	6938	12592	6168	1037690	1897098	859408	0	0.0901	0.298	3727	0	0	0	0	7881	1	1047	99.1	152	198	324	98	1.13	3.84	1.03	
1	 1	 1	 50	10	25167	30821	8500	5654	0	24414	30068	6168	3825329	4684737	859408	0	0.0833	0.63	15368	0	0	0	0	22210	1	1066	99.3	152	199	316	98	1.14	4.09	1	
1	 1	 1	 51	10	20424	26078	8240	5654	0	20046	25700	6168	3104474	3963882	859408	0	0.138	0.579	13311	0	0	0	0	19087	1	1086	99.2	152	199	310	98	1.12	3.55	1.04	
1	 1	 1	 52	10	16816	22470	7360	5654	0	15934	21588	6424	2522378	3370478	848100	0	0.107	0.367	8481	0	0	0	0	15836	1	1105	99.4	150	200	296	98	1.1	3.66	1.07	
1	 1	 1	 53	10	11674	17584	7285	5910	0	11308	17218	6424	1774406	2672726	898320	0	0.0986	0.319	7941	0	0	0	0	12265	1	1124	99.2	152	197	313	98	1.12	3.66	1.06	
1	 1	 1	 54	10	7912	13822	7768	5910	0	7968	13878	6682	1202584	2100904	898320	0	0.0727	0.421	6002	0	0	0	0	9168	1	1144	99.1	152	198	316	98	1.11	3.77	1	
1	 1	 1	 55	p-Ctrl	25881	31791	9754	5910	0	24930	30840	7452	3778688	4641548	862860	0	0.0642	0.606	13967	0	0	0	0	21072	1	1163	99	146	196	322	97	1.16	3.76	1.01	
1	 1	 1	 56	11	24902	31070	10335	6168	0	23900	30068	7452	3735371	4660571	925200	0	0.0739	0.631	17424	0	0	0	0	21799	1	1183	98.5	150	199	300	99	1.11	3.88	1.07	
1	 1	 1	 57	11	20064	25974	9266	5910	0	19532	25442	6682	3009547	3896047	886500	0	0.115	0.563	9213	0	0	0	0	18767	1	1203	98.4	150	200	285	98	1.1	3.88	1.07	
1	 1	 1	 58	11	16253	21907	7896	5654	0	15420	21074	6424	2405446	3242238	836792	0	0.0942	0.426	11797	0	0	0	0	15195	1	1222	98.4	148	201	312	98	1.13	3.59	1	
1	 1	 1	 59	11	10344	15998	7565	5654	0	10022	15676	6682	1530874	2367666	836792	0	0.0983	0.35	6695	0	0	0	0	10594	1	1241	98.4	148	199	307	96	1.17	4.77	1.03	
1	 1	 1	 60	11	6668	12322	7489	5654	0	6938	12592	6938	1013528	1872936	859408	0	0.0787	0.371	2724	0	0	0	0	7699	1	1261	98.2	152	192	296	99	1.11	4.82	1.06	
1	 1	 1	 61	12	25871	31781	9989	5910	0	24672	30582	6938	3932376	4830696	898320	0	0.073	0.71	15317	0	0	0	0	22348	1	1280	98.3	152	200	316	99	1.11	3.41	1.01	
1	 1	 1	 62	12	23555	29723	10398	6168	0	22872	29040	7196	3580426	4517962	937536	0	0.0777	0.645	14159	0	0	0	0	20881	1	1300	98.1	152	201	309	97	1.13	3.67	1	
1	 1	 1	 63	12	21600	27510	8949	5910	0	20818	26728	6938	3283234	4181554	898320	0	0.07	0.539	14223	0	0	0	0	19146	1	1319	98.3	152	198	313	98	1.15	3.69	1	
1	 1	 1	 64	12	17678	23588	9151	5910	0	16962	22872	6682	2687018	3585338	898320	0	0.0784	0.528	10782	0	0	0	0	16380	1	1338	98.1	152	200	307	98	1.14	3.65	1	
1	 1	 1	 65	12	13339	19249	8858	5910	0	13108	19018	6682	2027548	2925868	898320	0	0.0807	0.538	8609	0	0	0	0	13267	1	1358	98.2	152	199	311	97	1.14	3.91	1	
