MicroVigene	 Version	 2100
Culture	en-US
3/2/2006 1:49:21 PM
Roi Row	 4	 Roi Col	 12	 Main Row	 6	 Main Col	 6	 Sub Row	 1	 Sub Col	 1
Main Row	 Main Col	 Sub Row	 Sub Col	  GeneID	mean_net	 mean_total	 mean_bkg	 bkg_used	 mean_dust	 median_net	 median_total	 median_bkg	 vol_net	 vol_total	 vol_bkg	 vol_dust	 cv_spot	 cv_bkg	 xcenter	 ycenter	 area_signal	 area_spot	 area_bkg	 solidity	 circularity	 roundness	 aspect	 dustiness	 rank	 type 
1	 1	 1	 1	MCF7	2118	6230	4211	4112	0	2314	6426	4112	4921698	14477986	9556288	0	0.153	0.118	1009	583	2324	2245	1221	97	1.19	3.56	1.04	1027	329	good
1	 1	 1	 2	MCF7	1426	5796	4398	4370	0	1798	6168	4370	2994550	12171550	9177000	0	0.185	0.0944	1077	581	2100	2022	1136	95	1.29	4.41	1.06	788	133	good
1	 1	 1	 3	MCF7	681	5307	4740	4626	0	1028	5654	4626	1501440	11697144	10195704	0	0.226	0.0905	1151	578	2204	2116	1128	90	1.47	10.5	1.09	1059	8	good
1	 1	 1	 4	MCF7	-408.89	4475	4911	4884	0	0	4884	4884	-961331.99	10520952	11482284	0	0.33	0.0842	1215	578	2351	2259	1089	95	1.58	9.87	1	1607	-53.99	good
1	 1	 1	 5	MCF7	1631	6515	4992	4884	0	1798	6682	4884	1891708	7557148	5665440	0	0.0726	0.0537	1293	579	1160	1101	654	95	1.27	7.21	1.15	674	66	good
1	 1	 1	 6	MCF7	1731	6871	5169	5140	0	1542	6682	5140	1997456	7929016	5931560	0	0.0847	0.0515	1362	579	1154	1096	544	95	1.27	5.43	1.05	594	88	good
1	 1	 2	 1	MCF7	2357	6469	4328	4112	0	2570	6682	4370	5038762	13830218	8791456	0	0.128	0.102	1006	659	2138	2063	1077	98	1.15	3.34	1.03	836	376	good
1	 1	 2	 2	MCF7	1749	6119	4463	4370	0	2056	6426	4370	3502150	12250890	8748740	0	0.156	0.087	1076	658	2002	1929	1141	97	1.18	3.87	1.04	947	189	good
1	 1	 2	 3	MCF7	904	5530	4808	4626	0	1028	5654	4626	2144348	13117220	10972872	0	0.215	0.103	1152	653	2372	2263	1369	86	2.18	24.7	1.25	1044	6	poor
1	 1	 2	 4	MCF7	-518.81	4365	4974	4884	0	-257.99	4626	4884	-1172531.99	9865308	11037840	0	0.29	0.0797	1215	654	2260	2158	1029	92	2.02	10.1	1	1365	-49.99	poor
1	 1	 2	 5	MCF7	1684	6824	5101	5140	0	1800	6940	5140	1846066	7479506	5633440	0	0.0741	0.0553	1293	656	1096	1039	640	95	1.28	5.39	1.11	1141	109	good
1	 1	 2	 6	MCF7	1476	6874	5343	5398	0	1542	6940	5398	1872110	8716774	6844664	0	0.0667	0.0562	1362	658	1268	1209	757	97	1.2	4.48	1.08	931	113	good
1	 1	 3	 1	MCF7	2134	6504	4436	4370	0	2312	6682	4370	4249772	12950442	8700670	0	0.145	0.0896	1007	725	1991	1918	1059	97	1.17	3.84	1.1	883	276	good
1	 1	 3	 2	MCF7	1557	6183	4683	4626	0	1800	6426	4626	2910944	11556938	8645994	0	0.15	0.0742	1074	723	1869	1798	934	98	1.16	3.77	1.08	1205	169	good
1	 1	 3	 3	MCF7	937	5821	4965	4884	0	1284	6168	4884	1861454	11565962	9704508	0	0.192	0.0699	1150	720	1987	1914	1162	97	1.21	4.51	1.04	1108	43	good
1	 1	 3	 4	MCF7	-305.19	4835	5139	5140	0	258	5398	5140	-682723.99	10815456	11498180	0	0.305	0.0859	1216	721	2237	2148	1096	94	1.58	6.92	1	1254	-77.99	good
1	 1	 3	 5	MCF7	1756	6896	5287	5140	0	1800	6940	5398	1897748	7454088	5556340	0	0.0779	0.0479	1292	721	1081	1028	612	97	1.16	5.25	1.14	724	102	good
1	 1	 3	 6	MCF7	1699	7097	5492	5398	0	1798	7196	5398	2090090	8729630	6639540	0	0.0787	0.058	1359	723	1230	1171	636	97	1.24	6.92	1.13	1012	68	good
1	 1	 4	 1	MDA231	3455	7825	4578	4370	0	3854	8224	4370	7414932	16792952	9378020	0	0.159	0.113	1003	789	2146	2071	1125	98	1.16	2.64	1.02	1269	806	good
1	 1	 4	 2	MDA231	1487	6113	4851	4626	0	1542	6168	4626	3329552	13687166	10357614	0	0.141	0.129	1073	789	2239	2162	1140	98	1.16	3.31	1.08	1445	112	good
1	 1	 4	 3	MDA231	1987	6871	4944	4884	0	2056	6940	4884	3169036	10959016	7789980	0	0.141	0.0589	1148	789	1595	1530	869	97	1.17	5.13	1.13	755	161	good
1	 1	 4	 4	MDA231	2151	7291	5218	5140	0	2314	7454	5140	3358450	11381990	8023540	0	0.0933	0.0506	1214	791	1561	1496	923	97	1.19	5.4	1.14	804	173	good
