MicroVigene	 Version	 2100
Culture	en-US
5/9/2005 7:07:03 PM
Roi Row	 4	 Roi Col	 10	 Main Row	 4	 Main Col	 4	 Sub Row	 1	 Sub Col	 1
Main Row	 Main Col	 Sub Row	 Sub Col	  GeneID	mean_net	 mean_total	 median_net	 vol_bkg	 vol_dust	 
1	 1	 1	 1	sample1	11815	13595	11940	81880	0	
1	 1	 1	 2	sample1	11879	13783	12138	95200	0	
1	 1	 1	 3	sample1	8158	9896	7698	83424	0	
1	 1	 1	 4	sample1	6005	7277	6548	58512	0	
1	 1	 2	 1	sample1	10688	13220	11124	121536	0	
1	 1	 2	 2	sample1	11438	14498	11790	140760	0	
1	 1	 2	 3	sample1	8497	10971	8618	113804	0	
1	 1	 2	 4	sample1	6298	8098	6698	86400	0	
1	 1	 3	 1	sample1	2628	4178	2646	74400	0	
1	 1	 3	 2	sample1	1772	4046	1858	109152	0	
1	 1	 3	 3	sample1	948	3130	884	104736	0	
1	 1	 3	 4	sample1	551	2341	494	85920	0	
1	 1	 4	 1	sample1	4835	6107	4930	55968	0	
1	 1	 4	 2	sample1	2399	3961	2456	71852	0	
1	 1	 4	 3	sample1	997	2601	1060	76992	0	
1	 1	 4	 4	sample1	560	2096	532	73728	0	
1	 2	 1	 1	sample2	13966	15540	14030	75552	0	
1	 2	 1	 2	sample2	10585	12401	10458	87168	0	
1	 2	 1	 3	sample2	8857	10527	9116	80160	0	
1	 2	 1	 4	sample2	5783	7063	6032	61440	0	
1	 2	 2	 1	sample2	12190	15172	12288	143136	0	
1	 2	 2	 2	sample2	8743	14429	9272	272928	0	
1	 2	 2	 3	sample2	7580	10974	7572	156124	0	
1	 2	 2	 4	sample2	5642	7628	6030	95328	0	
1	 2	 3	 1	sample2	3129	5237	2724	101184	0	
1	 2	 3	 2	sample2	2053	5261	1914	153984	0	
1	 2	 3	 3	sample2	975	3337	964	113376	0	
1	 2	 3	 4	sample2	433	2035	368	76896	0	
1	 2	 4	 1	sample2	4346	5968	4530	81100	0	
1	 2	 4	 2	sample2	2504	4404	2504	87400	0	
1	 2	 4	 3	sample2	1317	2823	1262	72288	0	
