MicroVigene	 Version	2100																												
Culture	en-US																													
3/6/2006 12:50																														
Roi Row	4	 Roi Col	12	 Main Row	6	 Main Col	6	 Sub Row	1	 Sub Col	1																			
Main Row	 Main Col	 Sub Row	 Sub Col	  GeneID	mean_net	 mean_total	 mean_bkg	 bkg_used	 mean_dust	 median_net	 median_total	 median_bkg	 vol_net	 vol_total	 vol_bkg	 vol_dust	 cv_spot	 cv_bkg	 xcenter	 ycenter	 area_signal	 area_spot	 area_bkg	 solidity	 circularity	 roundness	 aspect	 dustiness	 rank	 type 
1	1	1	1	MCF7	2559	16185	13964	13626	0	2706	16332	13886	435064	2751484	2316420	0	0.0503	0.0308	202	192	170	312	241	95	1.22	5.32	1.04	952	180	blooming
1	1	1	2	MCF7	1447	15447	14331	14000	0	1558	15558	14286	245946	2625946	2380000	0	0.0558	0.027	225	190	170	303	338	94	1.39	8.26	1.11	912	48	multiple
1	1	1	3	MCF7	261	14781	14720	14520	0	520	15040	14740	45422	2571902	2526480	0	0.0704	0.0287	248	191	174	173	299	100	1	4.18	1	747	-133.99	circle
1	1	1	4	MCF7	-847.04	13673	14755	14520	0	-777.99	13742	14780	-147385.99	2379094	2526480	0	0.0909	0.019	272	190	174	173	351	100	1	4.18	1	664	-221.99	circle
1	1	1	5	MCF7	1304	16344	15185	15040	0	1408	16448	15154	219038	2745758	2526720	0	0.0369	0.0196	297	190	168	128	284	96	1.21	8.37	1.08	678	41	poor
1	1	1	6	MCF7	1566	16824	15447	15258	0	1554	16812	15516	263094	2826438	2563344	0	0.0395	0.0219	320	189	168	122	271	96	1.26	8.45	1.07	641	57	poor
1	1	2	1	MCF7	2456	16430	14312	13974	0	2578	16552	14220	407664	2727348	2319684	0	0.0332	0.0366	201	217	166	300	206	97	1.25	5.62	1.07	1099	175	blooming
1	1	2	2	MCF7	1476	15956	14703	14480	0	1596	16076	14740	250890	2712490	2461600	0	0.048	0.0319	224	217	170	221	264	99	1.1	4.31	1	1012	100	good
1	1	2	3	MCF7	614	15354	14951	14740	0	818	15558	14894	106908	2671668	2564760	0	0.0668	0.029	248	216	174	173	338	100	1	4.18	1	747	-125.99	circle
1	1	2	4	MCF7	-1017.35	13763	14971	14780	0	-1037.99	13742	15040	-177019.99	2394700	2571720	0	0.0696	0.0208	272	215	174	173	351	100	1	4.18	1	356	-222.99	circle
1	1	2	5	MCF7	1551	16679	15325	15128	0	1580	16708	15300	260624	2802128	2541504	0	0.0356	0.0174	296	214	168	119	274	96	1.19	7.76	1.11	709	57	poor
1	1	2	6	MCF7	1749	17049	15678	15300	0	1770	17070	15672	290300	2830100	2539800	0	0.0339	0.0214	320	215	166	129	288	95	1.24	7.89	1.11	562	61	poor
1	1	3	1	MCF7	2430	16550	14569	14120	0	2706	16826	14520	413184	2813584	2400400	0	0.053	0.038	202	239	170	288	254	92	1.43	7.18	1.01	1177	113	multiple
1	1	3	2	MCF7	1364	16128	14953	14764	0	1572	16336	14998	237414	2806350	2568936	0	0.0418	0.0243	224	239	174	173	254	100	1	4.18	1	635	85	circle
1	1	3	3	MCF7	853	15873	15241	15020	0	1062	16082	15154	148364	2761844	2613480	0	0.0514	0.0255	248	238	174	173	328	100	1	4.18	1	794	-52.99	circle
1	1	3	4	MCF7	-519.04	14521	15375	15040	0	-145.99	14894	15386	-90313.99	2526646	2616960	0	0.108	0.0276	272	238	174	173	304	100	1	4.18	1	734	-202.99	circle
1	1	3	5	MCF7	1180	16696	15717	15516	0	1316	16832	15672	205268	2905052	2699784	0	0.0315	0.0195	296	237	174	173	319	100	1	4.18	1	647	115	circle
1	1	3	6	MCF7	1296	17330	16134	16034	0	1294	17328	16164	217680	2911392	2693712	0	0.0369	0.0146	319	237	168	145	304	94	1.21	8.46	1.1	497	61	good
1	1	4	1	MDA231	4000	18236	14626	14236	0	4124	18360	14520	679936	3100056	2420120	0	0.0545	0.0385	200	261	170	227	258	96	1.19	5.46	1.08	753	275	good
1	1	4	2	MDA231	1418	16198	15075	14780	0	1326	16106	15040	246732	2818452	2571720	0	0.0364	0.0298	224	261	174	173	322	100	1	4.18	1	772	4	circle
1	1	4	3	MDA231	1879	16943	15236	15064	0	1902	16966	15258	319424	2880304	2560880	0	0.0485	0.017	248	260	170	201	354	95	1.22	5.26	1.01	1043	134	good
1	1	4	4	MDA231	2241	17541	15593	15300	0	2356	17656	15646	380910	2981910	2601000	0	0.0287	0.0249	271	260	170	264	283	88	1.5	11.6	0.97	475	65	multiple
1	1	4	5	MDA231	1863	17681	15983	15818	0	1922	17740	15930	312944	2970368	2657424	0	0.0364	0.019	296	260	168	274	297	91	1.52	10.2	1.11	294	61	multiple
1	1	4	6	MDA231	2059	18141	16328	16082	0	2020	18102	16336	337652	2975100	2637448	0	0.0309	0.0223	320	260	164	283	367	91	1.36	9.14	1.09	559	70	multiple
1	1	5	1	MDA231	3789	18009	14601	14220	0	3882	18102	14520	636598	3025558	2388960	0	0.0379	0.0326	201	284	168	266	224	94	1.26	6.59	1.02	528	220	blooming
1	1	5	2	MDA231	1382	16284	15155	14902	0	1462	16364	15070	240494	2833442	2592948	0	0.0448	0.0265	224	284	174	173	285	100	1	4.18	1	687	-14.99	circle
1	1	5	3	MDA231	2406	17476	15295	15070	0	2530	17600	15282	404252	2936012	2531760	0	0.0471	0.0186	248	284	168	140	318	95	1.24	7.87	1.01	924	74	good
1	1	5	4	MDA231	2093	17479	15562	15386	0	2200	17586	15558	359946	3006338	2646392	0	0.0337	0.0178	272	284	172	281	377	90	1.43	10.8	1.01	736	73	multiple
1	1	5	5	MDA231	2103	17895	16037	15792	0	2212	18004	16050	357564	3042204	2684640	0	0.0448	0.0184	296	284	170	118	270	97	1.17	10.7	1.18	951	47	poor
1	1	5	6	MDA231	1879	17935	16331	16056	0	1944	18000	16338	326886	3120630	2793744	0	0.036	0.0216	319	284	174	176	335	95	1.28	7.92	1.06	606	72	good
1	1	6	1	MDA231	4260	18404	14659	14144	0	4474	18618	14520	724160	3128640	2404480	0	0.0448	0.0428	201	310	170	290	265	95	1.25	6.88	1.05	1375	231	blooming
1	1	6	2	MDA231	1456	16454	15304	14998	0	1554	16552	15258	253418	2863070	2609652	0	0.0623	0.0349	224	309	174	173	268	100	1	4.18	1	838	-5.99	circle
1	1	6	3	MDA231	2684	17942	15549	15258	0	2742	18000	15564	445588	2978416	2532828	0	0.038	0.0216	248	310	166	271	319	95	1.22	7.84	1.06	424	148	blooming
1	1	6	4	MDA231	2134	17780	15784	15646	0	2094	17740	15672	362838	3022658	2659820	0	0.0477	0.0177	272	310	170	217	324	94	1.26	7.2	1.13	613	119	good
1	1	6	5	MDA231	1848	17924	16212	16076	0	1922	17998	16190	314230	3047150	2732920	0	0.0451	0.0172	296	310	170	96.5	249	97	1.16	9.91	1.2	740	45	poor
1	1	6	6	MDA231	2235	18425	16467	16190	0	2238	18428	16448	384406	3169086	2784680	0	0.0379	0.0184	319	310	172	99	263	97	1.15	5.46	0.97	518	86	poor
1	2	1	1	MCF7	2449	19131	16915	16682	0	2578	19260	16940	411514	3214090	2802576	0	0.0459	0.0209	415	191	168	309	254	96	1.19	5.94	1.01	567	191	blooming
1	2	1	2	MCF7	1447	18183	17050	16736	0	1692	18428	16966	251842	3163906	2912064	0	0.0592	0.0249	437	191	174	173	276	100	1	4.18	1	519	-3.99	circle
1	2	1	3	MCF7	795	17761	17285	16966	0	1264	18230	17198	138412	3090496	2952084	0	0.0799	0.0223	462	190	174	173	351	100	1	4.18	1	993	-101.99	circle
1	2	1	4	MCF7	286	17516	17514	17230	0	742	17972	17456	49776	3047796	2998020	0	0.0727	0.0178	486	189	174	173	351	100	1	4.18	1	653	-105.99	circle
1	2	1	5	MCF7	1513	18957	17696	17444	0	1560	19004	17702	257260	3222740	2965480	0	0.0306	0.015	510	188	170	96.5	236	97	1.18	9.47	1.11	763	37	poor
1	2	1	6	MCF7	1520	19122	17732	17602	0	1444	19046	17716	255336	3212472	2957136	0	0.0308	0.0133	533	189	168	122	268	93	1.29	13.4	1.03	587	34	poor
1	2	2	1	MCF7	2074	19014	17339	16940	0	2088	19028	17198	360918	3308478	2947560	0	0.0604	0.0387	414	214	174	173	263	100	1	4.18	1	818	127	circle
1	2	2	2	MCF7	1608	18534	17223	16926	0	1844	18770	17198	266914	3076630	2809716	0	0.0544	0.0279	436	214	166	206	330	97	1.15	5.53	1.04	685	77	good
1	2	2	3	MCF7	842	17784	17267	16942	0	1290	18232	17224	146524	3094432	2947908	0	0.0692	0.0194	461	214	174	173	351	100	1	4.18	1	746	-122.99	circle
1	2	2	4	MCF7	528	17726	17465	17198	0	1034	18232	17456	91860	3084312	2992452	0	0.0693	0.0166	485	214	174	173	338	100	1	4.18	1	730	-128.99	circle
1	2	2	5	MCF7	1509	18953	17611	17444	0	1302	18746	17702	259508	3259876	3000368	0	0.0381	0.0137	510	214	172	98	252	98	1.11	8.16	1.04	563	75	poor
1	2	2	6	MCF7	1611	19067	17679	17456	0	1578	19034	17702	277132	3279564	3002432	0	0.0375	0.016	533	214	172	119	292	95	1.25	9.72	1.19	566	54	poor
1	2	3	1	MCF7	2380	19320	17403	16940	0	2490	19430	17198	399896	3245816	2845920	0	0.0604	0.0333	414	237	168	198	299	97	1.14	6.4	1.07	859	85	good
