MicroVigene	 Version	 4000
Culture	en-US
9/28/2010 3:59:03 PM
0:blooming	1:good	2:multiple	3:poor	4:noise	5:circle	6:bad	7:dust	
Roi Row	 1	 Roi Col	 1	 Main Row	 44	 Main Col	 132	 Sub Row	 1	 Sub Col	 1
Main Row	 Main Col	 Sub Row	 Sub Col	  GeneID	mean_net	 mean_total	 mean_bkg	 bkg_used	 mean_dust	 median_net	 median_total	 median_bkg	 vol_net	 vol_total	 vol_bkg	 vol_dust	 cv_spot	 cv_bkg	 dustiness	 spot_skew	 bkg_skew	 kurtosis	 saturation	 rank	 type	 xcenter	 ycenter	 area_signal	 area_spot	 area_bkg	 solidity	 circularity	 roundness	 aspect	 
1	 1	 1	 1	1	21465	27771	7411	6306	0	22064	28370	6654	3305616	4276740	971124	0	0.191	0.309	9833	0	0	0	0	21010	1	143	79	154	200	380	98	1.14	3.12	1.09	
1	 1	 1	 2	1	18330	24828	8087	6498	0	17756	24254	6906	2749532	3724232	974700	0	0.0727	0.362	11664	0	0	0	0	17224	1	162	78.8	150	200	308	97	1.14	3.51	1.01	
1	 1	 1	 3	1	14003	20505	8018	6502	0	13652	20154	6870	2100478	3075778	975300	0	0.0727	0.348	9795	0	0	0	0	13831	1	181	78.8	150	197	318	97	1.13	3.76	1.04	
1	 1	 1	 4	1	8882	15184	7445	6302	0	8888	15190	6596	1332362	2277662	945300	0	0.0555	0.287	4627	0	0	0	0	9912	1	201	78.7	150	200	320	97	1.14	4.38	1.02	
1	 1	 1	 5	1	5723	11929	6916	6206	0	5716	11922	6482	858394	1789294	930900	0	0.0643	0.176	1145	0	0	0	0	7073	1	219	78.5	150	200	344	97	1.16	4.32	1.01	
1	 1	 1	 6	2	2587	8737	6626	6150	0	2636	8786	6432	388086	1310586	922500	0	0.0499	0.124	1257	0	0	0	0	4739	1	239	78.5	150	142	331	98	1.15	6.26	1.05	
1	 1	 1	 7	2	1056	7210	6380	6154	0	1054	7208	6374	162648	1110364	947716	0	0.0408	0.0568	917	0	0	0	0	3841	5	258	79	154	148	335	100	1	5.65	1	
1	 1	 1	 8	2	740	6842	6319	6102	0	694	6796	6340	113992	1053700	939708	0	0.0615	0.0493	1579	0	0	0	0	3643	5	277	78	154	148	343	100	1	5.65	1	
1	 1	 1	 9	2	491	6613	6364	6122	0	496	6618	6364	75680	1018468	942788	0	0.0452	0.0486	674	0	0	0	0	3499	5	296	79	154	148	346	100	1	5.65	1	
1	 1	 1	 10	2	499	6741	6911	6242	0	500	6742	6460	76916	1038184	961268	0	0.0423	0.369	1566	0	0	0	0	3547	5	317	77	154	148	319	100	1	5.65	1	
1	 1	 1	 11	p-Ctrl	21104	27416	8083	6312	0	20710	27022	6554	3207883	4167307	959424	0	0.111	0.501	10101	0	0	0	0	19666	1	335	78.3	152	198	319	98	1.13	3.55	1.04	
1	 1	 1	 12	3	3032	9386	6926	6354	0	3164	9518	6692	448686	1389078	940392	0	0.0581	0.158	1468	0	0	0	0	5307	1	354	77.9	148	169	317	97	1.14	5.1	1	
1	 1	 1	 13	3	1415	7707	6573	6292	0	1394	7686	6498	217946	1186914	968968	0	0.0434	0.0663	930	0	0	0	0	4078	1	373	78	154	164	344	97	1.15	3.82	1.07	
1	 1	 1	 14	3	849	7093	6452	6244	0	864	7108	6432	125600	1049712	924112	0	0.0387	0.0535	888	0	0	0	0	3647	1	392	77.9	148	159	361	95	1.18	5.05	1	
1	 1	 1	 15	3	639	6839	6437	6200	0	642	6842	6426	98334	1053134	954800	0	0.0439	0.0494	665	0	0	0	0	3560	5	412	78	154	148	358	100	1	5.65	1	
1	 1	 1	 16	3	554	6792	6536	6238	0	548	6786	6500	85304	1045956	960652	0	0.0432	0.0712	986	0	0	0	0	3547	5	431	80	154	148	310	100	1	5.65	1	
1	 1	 1	 17	4	3097	9409	6733	6312	0	3168	9480	6572	458352	1392528	934176	0	0.0488	0.0902	1376	0	0	0	0	5196	1	450	77.9	148	170	335	98	1.11	4.39	1.06	
1	 1	 1	 18	4	1501	7825	6657	6324	0	1528	7852	6606	222206	1158158	935952	0	0.0428	0.067	708	0	0	0	0	4140	3	469	77.9	148	151	337	92	1.39	8.17	1.03	
1	 1	 1	 19	4	897	7295	6609	6398	0	896	7294	6606	136348	1108844	972496	0	0.048	0.053	1020	0	0	0	0	3840	3	488	77.3	152	146	389	91	1.44	13.2	1.06	
1	 1	 1	 20	4	628	7060	6664	6432	0	592	7024	6644	96776	1087304	990528	0	0.0431	0.0477	566	0	0	0	0	3704	5	508	78	154	148	335	100	1	5.65	1	
1	 1	 1	 21	4	411	6907	7043	6496	0	392	6888	6738	63250	1063634	1000384	0	0.0433	0.28	1132	0	0	0	0	3646	5	528	77	154	148	312	100	1	5.65	1	
1	 1	 1	 22	p-Ctrl	21199	27893	8534	6694	0	21168	27862	7044	3137513	4128225	990712	0	0.131	0.451	9457	0	0	0	0	20551	1	546	77.7	148	200	301	97	1.14	3.87	1	
1	 1	 1	 23	5	3295	9933	7514	6638	0	3388	10026	6942	500854	1509830	1008976	0	0.0579	0.276	1899	0	0	0	0	5492	1	564	77.3	152	164	301	97	1.15	5.26	1.1	
1	 1	 1	 24	5	1660	8286	6940	6626	0	1624	8250	6864	255674	1276078	1020404	0	0.049	0.0706	1045	0	0	0	0	4344	1	583	77	154	157	349	96	1.26	5.99	1.03	
1	 1	 1	 25	5	958	7562	6895	6604	0	924	7528	6860	145652	1149460	1003808	0	0.0483	0.0641	738	0	0	0	0	3933	3	602	77.3	152	143	376	91	1.4	11.1	1.1	
1	 1	 1	 26	5	758	7328	6774	6570	0	746	7316	6772	116712	1128492	1011780	0	0.0417	0.0444	779	0	0	0	0	3896	5	622	77	154	148	349	100	1	5.65	1	
1	 1	 1	 27	5	454	6962	6768	6508	0	456	6964	6770	69932	1072164	1002232	0	0.0399	0.0522	564	0	0	0	0	3603	5	641	77	154	148	351	100	1	5.65	1	
1	 1	 1	 28	6	3140	9740	6985	6600	0	3116	9716	6900	477280	1480480	1003200	0	0.0488	0.0849	947	0	0	0	0	5374	1	660	77.1	152	162	347	98	1.1	4.16	1.06	
1	 1	 1	 29	6	1405	8061	6982	6656	0	1394	8050	6902	207966	1193054	985088	0	0.0423	0.0701	785	0	0	0	0	4262	1	679	77	148	166	331	97	1.16	5.1	1.03	
1	 1	 1	 30	6	1015	7685	6930	6670	0	1016	7686	6894	156306	1183486	1027180	0	0.0448	0.0537	1092	0	0	0	0	4013	5	698	77	154	148	355	100	1	5.65	1	
