MicroVigene	 Version	 2500
Culture	en-US
4/19/2006 12:08:59 PM
Roi Row	 4	 Roi Col	 12	 Main Row	 4	 Main Col	 4	 Sub Row	 1	 Sub Col	 1
Main Row	 Main Col	 Sub Row	 Sub Col	  GeneID	mean_net	 mean_total	 median_net	 vol_net	 vol_bkg	 vol_dust	 
1	 1	 1	 1	sample 1	11441	13497	12335	1052561	189152	0	
1	 1	 1	 2	sample 1	7323	9635	7709	915429	289000	0	
1	 1	 1	 3	sample 1	4067	6123	3854	235890	119248	0	
1	 1	 1	 4	sample 1	4099	6155	4368	250032	125416	0	
1	 1	 2	 1	sample 1	2462	4260	2570	110784	80910	0	
1	 1	 2	 2	sample 1	1504	3302	1542	60154	71920	0	
1	 1	 2	 3	sample 1	1034	2576	1028	41362	61680	0	
1	 1	 2	 4	neg con	148	1946	0	5930	71920	0	
1	 1	 3	 1	sample 2	912	2454	770	36474	61680	0	
1	 1	 3	 2	sample 2	784	2068	772	31378	51360	0	
1	 1	 3	 3	sample 2	842	2126	772	33688	51360	0	
1	 1	 3	 4	sample 2	379	1921	256	15140	61680	0	
1	 1	 4	 1	sample 2	463	1747	514	18518	51360	0	
1	 1	 4	 2	sample 2	245	1529	258	9786	51360	0	
1	 1	 4	 3	sample 2	335	1619	258	13388	51360	0	
1	 1	 4	 4	pos con	8289	9831	8993	712827	132612	0	
1	 2	 1	 1	sample 3	11663	14747	12849	1096346	289896	0	
1	 2	 1	 2	sample 3	9876	13218	10021	819738	277386	0	
1	 2	 1	 3	sample 3	8078	11162	8223	727053	277560	0	
1	 2	 1	 4	sample 3	5563	8647	5140	344903	191208	0	
1	 2	 2	 1	sample 3	3655	6483	3598	197352	152712	0	
1	 2	 2	 2	sample 3	2041	5125	2056	104108	157284	0	
1	 2	 2	 3	sample 3	1662	4490	1542	78106	132916	0	
1	 2	 2	 4	neg con	212	3040	256	8460	113120	0	
1	 2	 3	 1	sample 4	2616	4930	2570	172668	152724	0	
1	 2	 3	 2	sample 4	1162	3476	1028	46496	92560	0	
1	 2	 3	 3	sample 4	1587	4157	1542	63498	102800	0	
1	 2	 3	 4	sample 4	1384	3954	1542	71982	133640	0	
1	 2	 4	 1	sample 4	1098	3412	1028	43938	92560	0	
1	 2	 4	 2	sample 4	944	3258	1028	37756	92560	0	
1	 2	 4	 3	sample 4	843	3157	770	33726	92560	35984	
1	 2	 4	 4	pos con	8092	10406	7710	857761	245284	0	
1	 3	 1	 1	sample 5	10083	13167	10023	857084	262140	0	
1	 3	 1	 2	sample 5	9731	12815	10793	642240	203544	0	
1	 3	 1	 3	sample 5	7940	11024	7967	524013	203544	0	
1	 3	 1	 4	sample 5	4891	7719	5140	288567	166852	0	
1	 3	 2	 1	sample 5	3670	6240	3342	157822	110510	0	
1	 3	 2	 2	sample 5	2426	4996	2570	99478	105370	0	
1	 3	 2	 3	sample 5	1163	3733	1028	46538	102800	0	
1	 3	 2	 4	neg con	116	2686	0	4648	102800	0	
1	 3	 3	 1	sample 6	1124	3438	1028	44958	92560	0	
1	 3	 3	 2	sample 6	629	2943	514	25168	92560	0	
1	 3	 3	 3	sample 6	449	2763	514	17974	92560	0	
1	 3	 3	 4	sample 6	501	2815	514	20024	92560	0	
1	 3	 4	 1	sample 6	290	2346	258	11588	82240	0	
1	 3	 4	 2	sample 6	83.1	2397	0	3324	92560	0	
1	 3	 4	 3	sample 6	359	2673	256	14366	92560	0	
1	 3	 4	 4	pos con	9651	11965	10021	588718	141154	0	
1	 4	 1	 1	sample 7	11273	14357	11051	1003309	274476	0	
1	 4	 1	 2	sample 7	8942	12026	8223	697494	240552	0	
1	 4	 1	 3	sample 7	8928	12012	7709	687464	237468	0	
1	 4	 1	 4	sample 7	5411	8239	5140	281379	147056	0	
1	 4	 2	 1	sample 7	4295	6865	3856	236210	141350	0	
1	 4	 2	 2	sample 7	2499	5327	2570	99950	113120	0	
1	 4	 2	 3	sample 7	1497	4325	1284	59860	113120	0	
1	 4	 2	 4	neg con	457	3027	258	18268	102800	0	
1	 4	 3	 1	sample 8	6231	8545	5140	473584	175864	0	
1	 4	 3	 2	sample 8	3261	5831	2828	198948	156770	0	
1	 4	 3	 3	sample 8	3097	5667	2828	188924	156770	0	
1	 4	 3	 4	sample 8	2271	4841	2314	111300	125930	0	
1	 4	 4	 1	sample 8	1932	4246	2056	100464	120328	0	
1	 4	 4	 2	sample 8	1521	3835	1542	76050	115700	0	
1	 4	 4	 3	sample 8	1599	4169	1542	79948	128500	0	
1	 4	 4	 4	pos con	8594	11164	8995	627329	187610	0	
1	 5	 1	 1	sample 9	9706	12276	9251	960911	254430	0	
1	 5	 1	 2	sample 9	9201	11771	9251	791295	221020	0	
1	 5	 1	 3	sample 9	6267	8837	5912	488822	200460	0	
1	 5	 1	 4	sample 9	3012	5326	3084	129502	99502	0	
1	 5	 2	 1	sample 9	3372	5686	3340	192208	131898	0	
1	 5	 2	 2	sample 9	1928	3984	1800	88686	94576	0	
1	 5	 2	 3	sample 9	1924	4238	1798	94296	113386	0	
1	 5	 2	 4	neg con	354	2410	258	14158	82240	0	
1	 5	 3	 1	sample 10	1111	2911	1284	44434	72000	0	
1	 5	 3	 2	sample 10	540	2596	514	21608	82240	0	
1	 5	 3	 3	sample 10	315	2371	258	12616	82240	0	
1	 5	 3	 4	sample 10	258	2314	258	10304	82240	0	
1	 5	 4	 1	sample 10	436	2236	256	17456	72000	0	
1	 5	 4	 2	sample 10	430	2230	256	17198	72000	0	
1	 5	 4	 3	sample 10	513	2313	514	20536	72000	0	
1	 5	 4	 4	pos con	8472	10528	7968	745553	180928	0	
1	 6	 1	 1	sample 11	10363	12677	9765	953369	212888	0	
1	 6	 1	 2	sample 11	8982	11296	8993	745468	192062	0	
1	 6	 1	 3	sample 11	7346	9660	6938	550945	173550	0	
1	 6	 1	 4	sample 11	3908	6478	4112	230552	151630	0	
1	 6	 2	 1	sample 11	3337	5393	3084	203574	125416	0	
1	 6	 2	 2	sample 11	1985	4041	2056	99228	102800	0	
1	 6	 2	 3	sample 11	2730	4786	1800	122867	92520	0	
1	 6	 2	 4	neg con	290	2346	258	11590	82240	0	
1	 6	 3	 1	sample 12	2902	4702	2570	188602	117000	0	
1	 6	 3	 2	sample 12	1137	2937	1028	45472	72000	0	
1	 6	 3	 3	sample 12	784	2584	770	31340	72000	0	
1	 6	 3	 4	sample 12	777	2577	770	31078	72000	0	
1	 6	 4	 1	sample 12	758	2558	770	30314	72000	0	
1	 6	 4	 2	sample 12	629	2429	514	25168	72000	0	
1	 6	 4	 3	sample 12	649	2449	514	25944	72000	0	
1	 6	 4	 4	pos con	9056	11112	10279	842180	191208	0	
1	 7	 1	 1	sample 13	10064	13148	8993	925863	283728	0	
1	 7	 1	 2	sample 13	7840	11180	6940	650730	277220	0	
1	 7	 1	 3	sample 13	6627	9711	6424	444039	206628	0	
1	 7	 1	 4	sample 13	3038	6122	3084	154938	157284	0	
1	 7	 2	 1	sample 13	3740	6566	3598	216938	163908	0	
1	 7	 2	 2	sample 13	2118	4944	2056	105908	141300	0	
1	 7	 2	 3	sample 13	1619	4445	1800	76094	132822	0	
1	 7	 2	 4	neg con	225	3051	0	9008	113040	0	
1	 7	 3	 1	sample 14	2234	4804	2056	131814	151630	0	
1	 7	 3	 2	sample 14	918	3488	1028	36730	102800	0	
1	 7	 3	 3	sample 14	1162	3732	1028	46492	102800	0	
1	 7	 3	 4	sample 14	1118	3688	1028	44700	102800	0	
1	 7	 4	 1	sample 14	668	3238	514	26710	102800	0	
1	 7	 4	 2	sample 14	469	3039	514	18740	102800	0	
1	 7	 4	 3	sample 14	436	3006	256	17452	102800	0	
1	 7	 4	 4	pos con	7969	10795	6426	1123616	398466	0	
1	 8	 1	 1	sample 15	5045	6843	4626	353144	125860	0	
1	 8	 1	 2	sample 15	2066	4122	2056	103288	102800	0	
1	 8	 1	 3	sample 15	893	2949	770	35702	82240	0	
1	 8	 1	 4	sample 15	1252	3308	1284	50096	82240	0	
1	 8	 2	 1	sample 15	1034	2576	1028	41354	61680	0	
1	 8	 2	 2	sample 15	450	2248	258	18014	71920	0	
1	 8	 2	 3	sample 15	495	2293	258	19814	71920	0	
1	 8	 2	 4	neg con	213	2011	0	8502	71920	0	
1	 8	 3	 1	sample 16	2931	4473	2826	187580	98688	0	
1	 8	 3	 2	sample 16	1664	3206	1798	73220	67848	0	
1	 8	 3	 3	sample 16	2518	4060	2056	143506	87894	47026	
1	 8	 3	 4	sample 16	1792	3590	1800	64528	64728	0	
1	 8	 4	 1	sample 16	1963	3505	1798	92244	72474	0	
1	 8	 4	 2	sample 16	1966	3508	1798	78626	61680	0	
1	 8	 4	 3	sample 16	1542	3084	1542	75536	75558	0	
1	 8	 4	 4	pos con	10131	11673	11821	790188	120276	0	
1	 9	 1	 1	sample 17	12409	15237	11821	1079542	246036	0	
1	 9	 1	 2	sample 17	10066	12894	10535	875754	246036	0	
1	 9	 1	 3	sample 17	7774	10602	7196	520876	189476	0	
1	 9	 1	 4	sample 17	4088	6916	4112	351532	243208	0	
1	 9	 2	 1	sample 17	3985	6299	3598	219194	127270	0	
1	 9	 2	 2	sample 17	2178	4492	2056	87106	92560	0	
1	 9	 2	 3	sample 17	1217	3531	1283	48681	92560	38812	
1	 9	 2	 4	neg con	409	2723	514	16364	92560	25190	
1	 9	 3	 1	sample 18	2442	4498	2314	156290	131584	0	
1	 9	 3	 2	sample 18	1162	3476	1028	46496	92560	0	
1	 9	 3	 3	sample 18	867	3181	1028	34670	92560	0	
1	 9	 3	 4	sample 18	860	3174	770	34418	92560	0	
1	 9	 4	 1	sample 18	810	2866	772	32404	82240	0	
1	 9	 4	 2	sample 18	906	2962	772	36254	82240	0	
1	 9	 4	 3	sample 18	759	2815	772	30344	82240	0	
1	 9	 4	 4	pos con	8199	10255	6940	672318	168592	0	
1	 10	 1	 1	sample 19	12429	15255	13363	1056506	240210	0	
1	 10	 1	 2	sample 19	10366	13192	11307	777413	211950	0	
1	 10	 1	 3	sample 19	9311	12137	10279	605228	183690	0	
1	 10	 1	 4	sample 19	8100	10670	8223	558901	177330	0	
1	 10	 2	 1	sample 19	6105	8417	5398	396812	150280	0	
1	 10	 2	 2	sample 19	3883	6195	3598	213591	127160	0	
1	 10	 2	 3	sample 19	3256	5568	3084	156278	110976	0	
1	 10	 2	 4	neg con	412	2724	258	16470	92480	0	
1	 10	 3	 1	sample 20	1098	3154	1028	43926	82240	0	
1	 10	 3	 2	sample 20	603	2659	514	24136	82240	0	
1	 10	 3	 3	sample 20	655	2711	514	26198	82240	0	
1	 10	 3	 4	sample 20	404	2460	256	16170	82240	0	
1	 10	 4	 1	sample 20	521	2319	514	20832	71920	0	
1	 10	 4	 2	sample 20	347	2145	258	13898	71920	0	
1	 10	 4	 3	sample 20	572	2370	258	22896	71920	0	
1	 10	 4	 4	pos con	7921	9719	8737	617817	140244	0	
1	 11	 1	 1	sample 21	10684	13512	10021	929475	246036	0	
1	 11	 1	 2	sample 21	8632	11460	8223	845942	277144	0	
1	 11	 1	 3	sample 21	6033	8861	5396	440444	206444	0	
1	 11	 1	 4	sample 21	3675	6245	3598	172722	120790	0	
1	 11	 2	 1	sample 21	3901	6215	3598	237954	141154	0	
1	 11	 2	 2	sample 21	1765	4079	1542	81188	106444	0	
1	 11	 2	 3	sample 21	899	3213	1028	35964	92560	0	
1	 11	 2	 4	neg con	173	2487	0	6920	92560	0	
1	 11	 3	 1	sample 22	1625	3681	1800	86122	108968	0	
1	 11	 3	 2	sample 22	1118	3174	1028	44736	82240	0	
1	 11	 3	 3	sample 22	1207	3007	1028	48294	72000	0	
1	 11	 3	 4	sample 22	534	2590	514	21352	82240	0	
1	 11	 4	 1	sample 22	700	2500	770	27990	72000	0	
1	 11	 4	 2	sample 22	507	2307	514	20286	72000	0	
1	 11	 4	 3	sample 22	558	2358	514	22336	72000	0	
1	 11	 4	 4	pos con	9077	10877	9765	789665	156600	0	
1	 12	 1	 1	sample 23	11120	13690	11307	811778	187610	0	
1	 12	 1	 2	sample 23	9564	12134	9251	659900	177330	0	
1	 12	 1	 3	sample 23	6903	9473	7196	358980	133640	0	
1	 12	 1	 4	sample 23	6233	8803	6168	436322	179900	0	
1	 12	 2	 1	sample 23	5041	7097	5140	262110	106912	0	
1	 12	 2	 2	sample 23	3735	5791	3598	160604	88408	0	
1	 12	 2	 3	sample 23	2412	4468	2570	106118	90464	0	
1	 12	 2	 4	neg con	225	2537	258	9018	92480	0	
1	 12	 3	 1	sample 24	1394	3192	1286	62734	80910	0	
1	 12	 3	 2	sample 24	1631	3429	1542	52194	57536	0	
1	 12	 3	 3	sample 24	1009	2807	772	40370	71920	0	
1	 12	 3	 4	sample 24	893	2949	770	35702	82240	0	
1	 12	 4	 1	sample 24	693	2235	770	27732	61680	0	
1	 12	 4	 2	sample 24	277	2075	258	11068	71920	0	
1	 12	 4	 3	sample 24	373	2171	514	14924	71920	0	
1	 12	 4	 4	pos con	8673	10729	9765	485675	115136	0	
2	 1	 1	 1	sample 25	12423	14479	12591	1267138	209712	0	
2	 1	 1	 2	sample 25	11220	13532	10537	1054717	217328	0	
2	 1	 1	 3	sample 25	9020	11076	9507	811768	185040	0	
2	 1	 1	 4	sample 25	7964	9762	6940	613203	138446	0	
2	 1	 2	 1	sample 25	7405	9717	7454	555383	173400	0	
2	 1	 2	 2	sample 25	6041	8353	5912	441022	168776	0	
2	 1	 2	 3	sample 25	3825	5881	3340	263904	141864	0	
2	 1	 2	 4	neg con	264	2062	258	10562	71920	0	
2	 1	 3	 1	sample 26	1106	3418	1028	44226	92480	0	
2	 1	 3	 2	sample 26	597	2653	514	23882	82240	0	
2	 1	 3	 3	sample 26	643	2441	772	25722	71920	0	
2	 1	 3	 4	sample 26	482	2280	258	19296	71920	0	
2	 1	 4	 1	sample 26	591	2647	514	23624	82240	0	
2	 1	 4	 2	sample 26	476	2274	514	19032	71920	0	
2	 1	 4	 3	sample 26	412	2210	258	16468	71920	0	
2	 1	 4	 4	pos con	8394	10192	8737	847839	181598	0	
2	 2	 1	 1	sample 27	12928	14984	13877	1085984	172704	0	
2	 2	 1	 2	sample 27	9985	12297	10023	738863	171088	0	
2	 2	 1	 3	sample 27	8756	10812	8993	709242	166536	0	
