MicroVigene	 Version	 2500
Culture	en-US
4/19/2006 12:12:54 PM
Roi Row	 4	 Roi Col	 12	 Main Row	 4	 Main Col	 4	 Sub Row	 1	 Sub Col	 1
Main Row	 Main Col	 Sub Row	 Sub Col	  GeneID	mean_net	 mean_total	 median_net	 vol_net	 vol_bkg	 vol_dust	 
1	 1	 1	 1	sample 1	7807	9715	7306	749490	183168	0	
1	 1	 1	 2	sample 1	3114	4970	3294	277154	165184	0	
1	 1	 1	 3	sample 1	968	2778	814	38714	72400	0	
1	 1	 1	 4	sample 1	1242	3086	1200	49688	73760	0	
1	 1	 2	 1	sample 1	647	2369	702	25876	68880	0	
1	 1	 2	 2	sample 1	630	2296	612	25212	66640	0	
1	 1	 2	 3	sample 1	484	2176	424	19376	67680	0	
1	 1	 2	 4	neg con	240	1998	176	9598	70320	0	
1	 1	 3	 1	sample 2	1136	2696	1068	45436	62400	0	
1	 1	 3	 2	sample 2	513	2013	554	20524	60000	0	
1	 1	 3	 3	sample 2	483	2081	470	19314	63920	0	
1	 1	 3	 4	sample 2	532	2352	352	21288	72800	0	
1	 1	 4	 1	sample 2	228	1728	186	9126	60000	0	
1	 1	 4	 2	sample 2	235	1737	198	9404	60080	0	
1	 1	 4	 3	sample 2	348	1968	274	13924	64800	0	
1	 1	 4	 4	pos con	4754	6592	4618	332755	128660	0	
1	 2	 1	 1	sample 3	8877	11063	8020	781204	192368	0	
1	 2	 1	 2	sample 3	5731	7921	5556	406934	155490	0	
1	 2	 1	 3	sample 3	3964	6128	3856	253690	138496	0	
1	 2	 1	 4	sample 3	2803	4849	2850	142962	104346	0	
1	 2	 2	 1	sample 3	1382	3254	1524	55274	74880	0	
1	 2	 2	 2	sample 3	947	2891	976	37874	77760	0	
1	 2	 2	 3	sample 3	710	2680	582	28402	78800	0	
1	 2	 2	 4	neg con	570	2298	464	22804	69120	0	
1	 2	 3	 1	sample 4	2589	4367	2586	157926	108458	0	
