"","CA19-9","ERK2","GSK3","JNK","p38"
"con-0m",-9.38111040560068,2.14106451227779,0.238715686605118,-0.629584952293799,0.927986133002339
"CS2 1:100",-1.89540486274897,-4.01795559711242,-3.22148973526641,-4.03307227453231,-3.98485038088797
"con-24h",-6.61870393794411,2.76034658357895,1.71944616973131,-0.434638128730493,-0.141688276525763
"PJ2 1:5",9.55932710300725,-0.949676498206934,-4.98176173776332,-4.8004274808042,-1.96533612435513
"con-1h",-7.57930196223212,2.60985923549132,1.44756885011013,0.448863306274093,0.521968353147373
"PS1 1:40",-1.32744490461214,-1.44729740781880,-2.15388923432985,-0.341824768966785,-0.902914526889704
"468-nc",-9.63193516547635,-0.757831543401027,-0.989841224129885,-1.22844196653070,-3.23849777020056
"CP3-D 1:1",7.25489152073642,0.759629587207421,1.17312503225707,2.60056464916474,0.881031737686824
"con-3h",-7.87319640829818,3.11545538021168,1.63063135440778,1.75957658305636,1.81677087885707
"NP1-D 1:5",0.598008743577236,-0.650404574241512,0.983162264149047,1.99345809388398,0.0693327517323523
"231-nc",-3.02041064387585,4.30236347959668,3.59268350353104,3.71739450207453,4.63109255816014
"NP2 1:100",-1.38436661459931,-3.30701667983507,-3.38626604160969,-1.16948718883632,-2.61541793608597
"CS1 1:100",-2.23936777731779,-3.20072289605816,-1.61328590979684,-0.195479223673537,-1.56153848416864
"con-6h",-7.82637136842925,2.50776620222011,1.37536394082301,1.09701191669909,0.533777425748952
"CS3-D 1:10",11.8829890544804,-1.42090173481238,-0.252813504965949,0.824730367911352,-1.68232598816282
"jur-nc",-5.99961031540381,3.63300655779696,7.09688932708992,6.00195799458893,8.77589965346253
"PJ3 1:40",0.814147706105463,-2.05936264530509,-1.29911529873224,-0.147778263214149,-1.2563159722509
"a-w-0m",-4.56278775245943,5.86945216116398,3.03592788644450,3.22059797770587,4.13048860468804
"NS3 1:100",-4.08320100628882,-2.81854825369474,-3.78369153851062,-2.28537530210856,-2.65789909890922
"a-w-9h",-3.34533973920803,4.18327918581665,2.93304194935127,2.82504077116112,3.28158028290706
"NS2 1:40",-0.248698992234818,-1.84433373772227,-1.02291673879566,-0.286674120240884,-0.798384430339133
"a-w-5m",-3.94585895699289,4.20054293755147,3.34379498770314,3.54779433469384,3.29541073312102
"con-9h",-7.14106858994105,3.22993699482342,1.75053498503814,2.22340753563406,2.43438505142272
"PJ1 1:5",4.64917146096053,-3.23779311589626,-3.76415649777426,-3.37444583565871,-5.10426708708721
"a-w-12h",-6.62783665240055,3.35506284862647,2.1098019308001,1.49560484806598,1.73276714816434
"CS1 1:40",0.291288432249571,-1.85100091262160,-0.929291840559744,0.215823756745839,-0.552664139368498
"a-w-30m",-4.32549487539199,4.6563958990848,3.23988896349018,2.60513667697652,2.85285029844419
"CP3-D 1:40",4.95044962503109,-0.721593666038885,0.403312472794648,1.36589965562407,-0.754491098826671
"a-w-24h",-5.43200837928309,5.27496293339386,2.57832723469161,1.88246961390129,1.90264765821125
"CP2 1:10",4.30551870719777,0.154516333200422,1.28782272003668,2.48596061934112,1.32705458915104
"a-w-1h",-7.63152081907777,4.75269682673942,2.78358316023262,2.54807823011886,2.69146198429294
"NS1 1:10",1.46907560789198,0.297962570954425,1.26865283914475,2.69373121463460,1.47698920853860
"468-egf",-3.02891816124549,5.81456631643628,6.27738651480049,6.60268566404822,6.44999066913664
"NS1-D 1:5",0.975551185920175,-0.138203915325206,0.0309172560255748,2.17447394347318,0.413685882206611
"CP3 1:100",0.53244886144739,-3.62168429738275,-1.66256255612629,-0.919159786740636,-3.22181936838960
"a-w-3h",-10.0836935770281,4.43186842341794,2.58149671576975,2.85197579096114,3.42891681187275
"3CP7",14.4220146105069,3.46201127258180,2.75659287995045,1.98219042028057,3.51085232995736
"231-igf",-1.08488638852245,5.98815763096881,5.08875127266664,6.85480964381402,7.93155621555568
"CS3-D 1:5",10.1876081166587,-0.130486613112763,1.10526514644039,1.90957910712979,-0.210464270571347
"a-w-6h",-5.23997787026882,4.28368728323346,2.62589109567103,2.68332665265333,2.69139195428777
"NS2 1:100",-2.12986249883876,-4.10552576622485,-1.37397287715095,-2.52803944648736,-3.86603505537625
"jur-fas",-2.56518876674299,4.84070693116935,6.43582589129981,7.34147109060035,8.19719775937282
"Prot A/G",-9.09393939098755,-0.544686361290631,-4.30917101262537,4.88722623114613,-0.890843447042886
"a-v-0m",-4.61966950584237,3.61453576453409,1.87263010350715,2.71800789048423,2.95880603904569
"con-5m",-5.5477712574999,2.92945170900401,1.66547917440923,1.49749486713044,1.48239315841067
"NP3 1:10",6.33221261839287,0.57494580784853,0.669075209690058,2.27993720552764,1.48561200230352
"a-v-9h",-4.15091315908168,3.49848052680435,1.92278667805833,2.46807342681691,2.85579577380065
"NP1 1:40",-0.239770879651305,-1.24957314987681,-0.557394367522649,0.464645805031344,-0.924006101266069
"a-v-5m",-5.15705324917521,4.07395764619509,1.81173682882277,2.72139957025124,2.29792827535664
"NP2 1:10",3.70133220288329,0.81377746313103,0.943728099008144,2.71009383009744,1.19812917240305
"a-v-12h",-4.54383392569279,3.74746377828945,2.23631930476505,2.70032309059229,2.39735099994922
"NP2 1:40",1.35254015789828,-0.526128213616563,-0.0150499873123093,0.819897059718872,0.311521283572843
"a-v-30m",-3.87438233295437,5.16564063876144,2.23250753202699,3.52888244242736,2.92866423391773
"NP1 1:10",1.39847942822875,0.588987361141686,0.985511403777348,2.47055206816154,1.135350290987
"a-v-24h",-4.46257131568608,4.08147212312243,2.05253268276044,2.66039003227729,2.13076483850930
"PS1 1:100",-3.00981903779166,-3.85883230178231,-4.97215309086348,-1.27131893017181,-3.68221509656932
"PS2 1:10",2.45438220390327,0.379071682817779,1.28673567524064,2.13666044529034,0.92536147530394
"a-v-1h",-4.01010778666666,5.24612431569326,2.4761181844691,2.84947158616665,2.93841717301777
"PS1 1:10",1.81518565222418,0.94352473383352,1.28060416276601,2.42674583016499,1.50279773239386
"CP1 1:10",2.49718786092047,0.96131240394474,1.30433928046495,2.88602323502098,1.75863205654578
"CS2 1:40",0.463034113495717,-1.68317610032142,-0.0363322788640678,-0.0656991784614106,-1.15188459539498
"a-v-3h",-4.67118226065745,3.69250575026708,2.09595189060664,2.55093733336240,2.90462999083317
"NP3 1:40",2.16797414445597,-0.104212220832936,0.619112521758301,0.830592630691565,0.234442367505285
"CP2 1:100",0.169988708140695,-1.57756123847164,-0.322405631370429,-0.0977207722357496,-0.73173606112524
"NP1 1:100",-2.35328810664176,-2.1295640631822,-0.636714263078854,-0.306781669101017,-1.25961731820563
"NP1-D 1:10",-6.05187660343909,3.77600240277822,2.44151348859018,2.57172748898079,2.96336038030733
"con-12h",-3.71419654577396,3.29094249822834,2.26845698272168,1.68666854912685,1.15326935084520
"CS2 1:10",2.57394190769841,-0.345729732325296,1.21328053521699,1.62757919102926,0.720799748475139
"CP2 1:40",2.7053085954185,-0.081556922957388,0.855255149536095,1.74471178597258,0.939182346558784
"NP3 1:100",-0.332313896608008,-2.99468226190912,-1.53826788884172,-0.648586990504073,-0.973429729228775
"NS3 1:10",1.06093880476300,0.0704311883763417,0.970760785394613,2.44461335452601,0.889714003445108
"CS3 1:40",8.72124900894289,-3.23925813216089,-2.42758511413252,-1.13326884453846,-3.38333176049413
"PJ1 1:1",15.3145539403134,-2.35503375967167,-0.764709105672496,-0.880037196500306,-1.70114579434428
"PS2 1:100",-2.13952692149072,-2.68006342774469,-1.14709505246976,-2.3854954804462,-3.04138128198451
"CP1 1:40",-0.155386525717956,-0.77050909143026,0.0602810081550795,0.886916017619217,0.296675239676073
"PS3 1:10",4.43837620420448,0.345557873875134,1.29139641788448,1.68983260133542,0.853383015789655
"HDPE",-3.53501099397757,4.51260748144039,5.28332448319213,6.19976705118665,6.83192085826593
"PJ2 1:1",11.3431356250468,1.23243600233609,-0.704017756827999,-0.666592932929096,0.628959490947753
"PJ3 1:5",13.3585108896281,0.879391963672385,1.48068658736027,3.24815163125244,1.89306263991777
"NS3 1:40",-1.76166949834133,-0.68421729176067,0.536827085989293,1.42838085915965,0.812978130335584
"PS3 1:100",-1.25336997096948,-3.29032266542586,-3.14884439689761,-2.63955110370256,-3.39641323297657
"NS2 1:10",1.77505482051148,0.434536797368937,1.36376068049522,2.90793261884215,1.48670699656503
"CS3 1:10",15.0256435963633,-0.467671684952096,0.438740211838589,1.57808363038678,-0.143546793203830
"CP1 1:100",-2.61923213581791,-2.19435591688749,-0.94168798832886,-1.16573627552117,-1.62795992246108
"CP3 1:40",3.26465614262251,-1.44409831696364,-0.343890262410036,0.179324083278277,-0.428076687692819
"NS1 1:40",-1.14014153009343,-0.778588344377698,0.26308339227178,0.760419193822097,-0.459279415909832
"CS3 1:100",3.53819200083896,-2.68742107356847,-1.51884274790492,-1.93290927019395,-4.7240966085647
"NS1-D 1:10",0.311916115600107,-0.0621667582636288,1.03316226969462,0.860435547379328,-0.347727669542678
